data_avaliacao;titulo;comentario_positivo;comentario_negativo;nota;;;;;
27 de julho de 2022;Satisfatório;Tamanho do quarto;Hotel bastante antigo, prescisa uma rejuvenecida.;6;;;;;
21 de julho de 2022;Não voltaria.;;área comum só é aberta pra o café da manhã. falta de estacionamento.;5;;;;;
20 de julho de 2022;Ficou faltando….;Da cama.;Alguns ambientes estão sem foro no teto, totalmente feio e sem higiene principalmente na área do café da manhã. As paredes do prédio está feia, precisando de pintura. Falta iluminação na recepção e alguns objetos que ornamentam o ambiente precisa de mais cuidado e limpeza.;;;;;;
"As toalhas já estão precisando serem substituídas bem como os móveis do quarto (pelo menos no que fiquei).""";5;;;;;;;;
11 de julho de 2022;deixou a de desejar...;limpeza;Café da manhã razoável, mas com apenas 1 funcionária que não dava conta da demanda. Chuveiro quente sem funcionar (apesar de ser Recife, estamos em época de chuvas e temperatura mais baixa, nada bom).;6;;;;;
7 de julho de 2022;Se estiver em promoção compensa. Fora isso, não.;Tudo mediano. Nada de destaque que mereça uma observação.;Colchão precisando trocar. Teto do restaurante caindo o forro. Várias áreas com reforma inacabada e parada. Região muito deserta e escura, não dá pra sair caminhando. Luzes do próprio hotel parecem um farol dentro do quarto.;6;;;;;
27 de junho de 2022;Muito ruim! Pousadas com metade do preço são melhores que este hotel.;Da localização apenas;Não tem TV a cabo;;;;;;
Chuveiro com água fria ;;;;;;;;;
Torneira saia um fiozinho de água ;;;;;;;;;
"Me deram 4 cartões e nenhum abria a porta""";1;;;;;;;;
15 de junho de 2022;HOTEL HORRÍVEL;Não tem nada bom;Atendimento péssimo;1;;;;;
15 de junho de 2022;"""PESSIMO ATENDIMENTO"" - INSTALAÇÕES ANTIGAS E PORTAS DEFEITUOSAS";;;;;;;;
29 de maio de 2022;Razoável;Nada em especial;Localização;6;;;;;
15 de abril de 2022;Excepcional;tudo;tem um recepcionista homem que não gravamos o nome é extremamente grosso;10;;;;;
10 de abril de 2022;;;;10;;;;;
9 de abril de 2022;gostei demais;o conforto;alimentação;10;;;;;
3 de abril de 2022;Excepcional;Gostei da prontidão dos funcionários em nos atender e resolver nossos contratempos.;;10;;;;;
30 de março de 2022;Volto em breve !!!! obrigado por tudo!!!!;gostamos de tudo , indicaria pra amigos com certeza , funcionários atenciosos , ótima localização e quarto bem confortável e limpo !!!!;nada , pra nós foi tudo perfeito !!!!!;10;;;;;
23 de setembro de 2023;Muito bom;Confortável;Muito apertada para 3 camas;8;;;;;
12 de janeiro de 2024;It is a nice place to stay regarding the price.;Price and location.;The bed was not comfortable.;7;;;;;
19 de outubro de 2022;It’s OK;The location;They don’t have room service;8;;;;;
3 de janeiro de 2025;Nice location. No towels available for all guest.;Location and that is basically it.;For the first time in my life I’ve checked in at a hotel where there were no towels available for all guests. 🤯. There was also a foul smell coming from outside the room.;2;;;;;
26 de fevereiro de 2025;Muito bom;La ubicación estaba muy bien, frente a la playa y cerca del aeropuerto, tiene recepcion las 24 hs que es fundamental cuando se llega de noche;;8;;;;;
20 de fevereiro de 2025;Der Aufenthalt war durchwegs in Ordnung aber mit Verbesserungspotenzial;Alles in Allem war der Aufenthalt durchwegs in Ordnung.;;;;;;;
Das Servicepersonal war freundlich und hilfsbereit ; was bei dem an der Rezeption tätigen Mitarbeitern/in ein wenig zu wünschen übrig lies. ;;;;;;;;
Das Frühstück war vom Angebot reichhaltig und die Sauberkeit im Hotel-und Zimmerbereich waren OK.;;;;;;;;;
Was die Lage anbetrifft; die Entfernung zum Strand relativ kurz; doch leider rund um das Hotel weder Restaurants oder Einkaufsmöglichkeiten und fußläufig nicht erreichbar.;;;;;;;
"WLAN war ausgesprochen gut.""";Die gebuchten Deluxe Zimmer waren etwas spartanisch bzw. einfach eingerichtet.;;;;;;;;
Ebenfalls waren die Klimageräte in beiden Zimmern defekt ; das Kondenswasser tropfte pausenlos auf den darunter befindlichen Tisch. Hier ist Vorsicht geboten zwecks ablegen von nicht wasserfesten Dingen.;;;;;;;;
Von den Mitarbeitern an der Rezeption war nur eine Dame der englischen Sprache mächtig; die aber nur jeden dritten Tag anwesend war. Somit war eine Kommunikation nur mit Handy und Translate möglich.;;;;;;;;
"Die Toiletten im Erdgeschoß ( öffentlicher Bereich ) bedürfen einer Generalsanierung.""";7;;;;;;;;
29 de janeiro de 2025;BUENA RELACION PRECIO CALIDAD;Hotel sobre la Av. constanera Boa Viagem, en barrio Guararape aledaño al barrio centrico Voa Biagem. Frente al mar, pero no tiene acceso directo sobre la playa, a la que accedes cruzando la avenida pero no te podes meter porque hay tiburones. Es un hotel que ya tiene sus años, pero conservado y limpio. Buenas y comodas instalaciones. Buen desayuno buffet muy variado. Tiene estacionamiento no cubierto con personal de seguridad nocturna. La unica observacion es que no tiene piscina que seria ideal para disfrutar del agua por el tema de que la playa tiene tiburones. Ademas el wifi no funciona en el 3er piso. De todas maneras buena relacion precio calidad. Volveriamos!;No tiene piscina y no te podes meter a la playa frente al hotel porque hay pelgro de tiburones;8;;;;;
17 de janeiro de 2025;Fantástico;La amabilidad y cordialidad del personal!;Muy caluroso y sin aire o ventilador en el desayuno.;9;;;;;
1º de janeiro de 2024;Muito bom;Atención del personal de recepción. El desayuno es variado.;;8;;;;;
6 de novembro de 2023;Muito bom;La vista;;8;;;;;
14 de junho de 2023;Recomendado, buena relación precio calidad;La habitación es muy amplia, el baño también, todo muy limpio y comodo. Queda al frente de la playa. El desayuno es bueno, tenia de todo.;Queda cerca del aeropuerto, se siente el ruido de los aviones. Lo bueno es que al parecer no hay vuelos por la noche, por lo que no tuvimos problemas para dormir.;9;;;;;
10 de fevereiro de 2023;Comodo y practico.;El personal muy amable .el hotel colmo mis expectativas y necesidades del momento.;Nada para resaltar. Estan haciendo reparaciones o adecuaciones como se hacen generalmente como mantenimiento a cualquier edificio pero no molestaron en ningun momento.;9;;;;;
27 de janeiro de 2025;Satisfatório;Ubicación;Confort;6;;;;;
12 de fevereiro de 2023;Excepcional;El personal muy amable, el hotel tiene sus años pero es muy cómodo y ordenado. La ubicación es buena, cerca del aeropuerto y del shopping;Nada;10;;;;;
22 de agosto de 2022;impecable;muy bueno todo;nada;10;;;;;
27 de março de 2025;Fantástico;;;9;;;;;
25 de março de 2025;Fantástico;;;9;;;;;
17 de março de 2025;Fantástico;;;9;;;;;
10 de março de 2025;Muito bom;;;8;;;;;
6 de março de 2025;Fantástico;;;9;;;;;
4 de março de 2025;Fantástico;;;9;;;;;
26 de fevereiro de 2025;Muito bom;;;8;;;;;
25 de fevereiro de 2025;Muito bom;;;8;;;;;
24 de fevereiro de 2025;Fantástico;;;9;;;;;
19 de fevereiro de 2025;Muito bom;;;8;;;;;
18 de fevereiro de 2025;Muito bom;;;8;;;;;
13 de fevereiro de 2025;Muito bom;;;8;;;;;
7 de fevereiro de 2025;Muito bom;;;8;;;;;
3 de fevereiro de 2025;Muito bom;;;8;;;;;
3 de fevereiro de 2025;Muito bom;;;8;;;;;
2 de fevereiro de 2025;Bom;;;7;;;;;
2 de fevereiro de 2025;Fantástico;;;9;;;;;
1º de fevereiro de 2025;Fantástico;;;9;;;;;
29 de janeiro de 2025;Fantástico;;;9;;;;;
28 de janeiro de 2025;Muito bom;;;8;;;;;
26 de janeiro de 2025;Muito bom;;;8;;;;;
24 de janeiro de 2025;Muito bom;;;8;;;;;
24 de janeiro de 2025;Muito bom;;;8;;;;;
22 de janeiro de 2025;Muito bom;;;8;;;;;
22 de janeiro de 2025;Bom;;;7;;;;;
22 de janeiro de 2025;Bom;;;7;;;;;
21 de janeiro de 2025;Bom;;;7;;;;;
20 de janeiro de 2025;Muito bom;;;8;;;;;
19 de janeiro de 2025;Fantástico;;;9;;;;;
19 de janeiro de 2025;Fantástico;;;9;;;;;
12 de janeiro de 2025;Muito bom;;;8;;;;;
12 de janeiro de 2025;Fantástico;;;9;;;;;
10 de janeiro de 2025;Muito bom;;;8;;;;;
10 de janeiro de 2025;Bom;;;7;;;;;
9 de janeiro de 2025;Muito bom;;;8;;;;;
4 de janeiro de 2025;Bom;;;7;;;;;
2 de janeiro de 2025;Bom;;;7;;;;;
28 de dezembro de 2024;Fantástico;;;9;;;;;
27 de dezembro de 2024;Bom;;;7;;;;;
27 de dezembro de 2024;Muito bom;;;8;;;;;
27 de dezembro de 2024;Bom;;;7;;;;;
22 de dezembro de 2024;Muito bom;;;8;;;;;
22 de dezembro de 2024;Muito bom;;;8;;;;;
11 de dezembro de 2024;Bom;;;7;;;;;
10 de dezembro de 2024;Bom;;;7;;;;;
8 de dezembro de 2024;Muito bom;;;8;;;;;
6 de dezembro de 2024;Muito bom;;;8;;;;;
5 de dezembro de 2024;Bom;;;7;;;;;
29 de novembro de 2024;Muito bom;;;8;;;;;
20 de novembro de 2024;Muito bom;;;8;;;;;
17 de novembro de 2024;Muito bom;;;8;;;;;
10 de novembro de 2024;Muito bom;;;8;;;;;
16 de outubro de 2024;Muito bom;;;8;;;;;
13 de outubro de 2024;Muito bom;;;8;;;;;
9 de outubro de 2024;Muito bom;;;8;;;;;
3 de setembro de 2024;Fantástico;;;9;;;;;
26 de agosto de 2024;Fantástico;;;9;;;;;
25 de agosto de 2024;Muito bom;;;8;;;;;
20 de agosto de 2024;Fantástico;;;9;;;;;
20 de agosto de 2024;Muito bom;;;8;;;;;
20 de agosto de 2024;Muito bom;;;8;;;;;
10 de agosto de 2024;Muito bom;;;8;;;;;
6 de agosto de 2024;Muito bom;;;8;;;;;
27 de julho de 2024;Muito bom;;;8;;;;;
24 de julho de 2024;Muito bom;;;8;;;;;
16 de julho de 2024;Muito bom;;;8;;;;;
9 de julho de 2024;Bom;;;7;;;;;
1º de junho de 2024;Muito bom;;;8;;;;;
8 de maio de 2024;Muito bom;;;8;;;;;
30 de abril de 2024;Muito bom;;;8;;;;;
29 de abril de 2024;Bom;;;7;;;;;
23 de abril de 2024;Fantástico;;;9;;;;;
17 de abril de 2024;Muito bom;;;8;;;;;
19 de março de 2024;Bom;;;7;;;;;
19 de março de 2024;Fantástico;;;9;;;;;
11 de março de 2024;Muito bom;;;8;;;;;
8 de março de 2024;Muito bom;;;8;;;;;
3 de março de 2024;Muito bom;;;8;;;;;
20 de fevereiro de 2024;Muito bom;;;8;;;;;
17 de fevereiro de 2024;Muito bom;;;8;;;;;
12 de fevereiro de 2024;Muito bom;;;8;;;;;
12 de fevereiro de 2024;Bom;;;7;;;;;
2 de fevereiro de 2024;Muito bom;;;8;;;;;
28 de janeiro de 2024;Fantástico;;;9;;;;;
25 de janeiro de 2024;Muito bom;;;8;;;;;
24 de janeiro de 2024;Muito bom;;;8;;;;;
22 de janeiro de 2024;Muito bom;;;8;;;;;
20 de janeiro de 2024;Bom;;;7;;;;;
20 de janeiro de 2024;Bom;;;7;;;;;
19 de janeiro de 2024;Muito bom;;;8;;;;;
19 de janeiro de 2024;Muito bom;;;8;;;;;
16 de janeiro de 2024;Fantástico;;;9;;;;;
10 de janeiro de 2024;Muito bom;;;8;;;;;
6 de janeiro de 2024;Bom;;;7;;;;;
29 de dezembro de 2023;Bom;;;7;;;;;
27 de dezembro de 2023;Muito bom;;;8;;;;;
25 de dezembro de 2023;Fantástico;;;9;;;;;
23 de dezembro de 2023;Muito bom;;;8;;;;;
21 de dezembro de 2023;Bom;;;7;;;;;
17 de dezembro de 2023;Fantástico;;;9;;;;;
17 de dezembro de 2023;Fantástico;;;9;;;;;
15 de dezembro de 2023;Muito bom;;;8;;;;;
10 de dezembro de 2023;Bom;;;7;;;;;
7 de dezembro de 2023;Muito bom;;;8;;;;;
29 de novembro de 2023;Fantástico;;;9;;;;;
27 de novembro de 2023;Muito bom;;;8;;;;;
26 de novembro de 2023;Bom;;;7;;;;;
24 de novembro de 2023;Bom;;;7;;;;;
17 de novembro de 2023;Muito bom;;;8;;;;;
6 de novembro de 2023;Muito bom;;;8;;;;;
4 de novembro de 2023;Muito bom;;;8;;;;;
4 de novembro de 2023;Muito bom;;;8;;;;;
30 de outubro de 2023;Muito bom;;;8;;;;;
29 de outubro de 2023;Fantástico;;;9;;;;;
28 de outubro de 2023;Bom;;;7;;;;;
24 de outubro de 2023;Bom;;;7;;;;;
24 de outubro de 2023;Muito bom;;;8;;;;;
17 de outubro de 2023;Muito bom;;;8;;;;;
11 de outubro de 2023;Muito bom;;;8;;;;;
2 de outubro de 2023;Muito bom;;;8;;;;;
29 de setembro de 2023;Fantástico;;;9;;;;;
26 de setembro de 2023;Muito bom;;;8;;;;;
22 de setembro de 2023;Bom;;;7;;;;;
22 de setembro de 2023;Muito bom;;;8;;;;;
19 de setembro de 2023;Muito bom;;;8;;;;;
18 de setembro de 2023;;;;8;;;;;
15 de setembro de 2023;Muito bom;;;8;;;;;
15 de setembro de 2023;Bom;;;7;;;;;
27 de agosto de 2023;Fantástico;;;9;;;;;
21 de agosto de 2023;Bom;;;7;;;;;
11 de agosto de 2023;Fantástico;;;9;;;;;
9 de agosto de 2023;Fantástico;;;9;;;;;
7 de agosto de 2023;Muito bom;;;8;;;;;
29 de julho de 2023;Muito bom;;;8;;;;;
27 de julho de 2023;Muito bom;;;8;;;;;
18 de julho de 2023;Muito bom;;;8;;;;;
15 de julho de 2023;Fantástico;;;9;;;;;
15 de julho de 2023;Muito bom;;;8;;;;;
14 de julho de 2023;Bom;;;7;;;;;
11 de julho de 2023;Fantástico;;;9;;;;;
23 de junho de 2023;Bom;;;7;;;;;
3 de junho de 2023;Fantástico;;;9;;;;;
1º de junho de 2023;Muito bom;;;8;;;;;
29 de maio de 2023;Muito bom;;;8;;;;;
19 de maio de 2023;Fantástico;;;9;;;;;
18 de maio de 2023;Fantástico;;;9;;;;;
15 de maio de 2023;Fantástico;;;9;;;;;
1º de maio de 2023;Fantástico;;;9;;;;;
25 de abril de 2023;Muito bom;;;8;;;;;
17 de abril de 2023;ótimo custo benefício;;;9;;;;;
16 de abril de 2023;Bom;;;7;;;;;
16 de abril de 2023;Bom;;;7;;;;;
11 de abril de 2023;Bom;;;7;;;;;
11 de abril de 2023;Fantástico;;;9;;;;;
5 de abril de 2023;Muito bom;;;8;;;;;
1º de abril de 2023;Bom;;;7;;;;;
28 de março de 2023;Fantástico;;;9;;;;;
28 de março de 2023;Muito bom;;;8;;;;;
24 de março de 2023;Muito bom;;;8;;;;;
20 de março de 2023;Bom;;;7;;;;;
19 de março de 2023;Muito bom;;;8;;;;;
17 de março de 2023;Fantástico;;;9;;;;;
14 de março de 2023;Bom;;;7;;;;;
12 de março de 2023;Fantástico;;;9;;;;;
11 de março de 2023;Muito bom;;;8;;;;;
8 de março de 2023;Muito bom;;;8;;;;;
4 de março de 2023;Fantástico;;;9;;;;;
1º de março de 2023;Fantástico;;;9;;;;;
28 de fevereiro de 2023;Muito bom;;;8;;;;;
24 de fevereiro de 2023;Fantástico;;;9;;;;;
21 de fevereiro de 2023;Muito bom;;;8;;;;;
21 de fevereiro de 2023;Bom;;;7;;;;;
20 de fevereiro de 2023;Bom;;;7;;;;;
17 de fevereiro de 2023;Muito bom;;;8;;;;;
16 de fevereiro de 2023;Fantástico;;;9;;;;;
15 de fevereiro de 2023;Muito bom;;;8;;;;;
13 de fevereiro de 2023;Bom;;;7;;;;;
8 de fevereiro de 2023;Bom;;;7;;;;;
8 de fevereiro de 2023;Fantástico;;;9;;;;;
6 de fevereiro de 2023;Bom;;;7;;;;;
5 de fevereiro de 2023;Fantástico;;;9;;;;;
4 de fevereiro de 2023;Muito bom;;;8;;;;;
4 de fevereiro de 2023;Muito bom;;;8;;;;;
4 de fevereiro de 2023;Muito bom;;;8;;;;;
31 de janeiro de 2023;Muito bom;;;8;;;;;
30 de janeiro de 2023;Fantástico;;;9;;;;;
28 de janeiro de 2023;Fantástico;;;9;;;;;
24 de janeiro de 2023;Muito bom;;;8;;;;;
23 de janeiro de 2023;Muito bom;;;8;;;;;
21 de janeiro de 2023;maravilha!;;;9;;;;;
21 de janeiro de 2023;Muito bom;;;8;;;;;
20 de janeiro de 2023;Bom;;;7;;;;;
20 de janeiro de 2023;Muito bom;;;8;;;;;
19 de janeiro de 2023;Muito bom;;;8;;;;;
11 de janeiro de 2023;Muito bom;;;8;;;;;
10 de janeiro de 2023;Bom;;;7;;;;;
9 de janeiro de 2023;Muito bom;;;8;;;;;
6 de janeiro de 2023;Bom;;;7;;;;;
5 de janeiro de 2023;Bom;;;7;;;;;
4 de janeiro de 2023;Bom;;;7;;;;;
3 de janeiro de 2023;Muito bom;;;8;;;;;
27 de dezembro de 2022;Muito bom;;;8;;;;;
26 de dezembro de 2022;Bom;;;7;;;;;
25 de dezembro de 2022;Fantástico;;;9;;;;;
20 de dezembro de 2022;Muito bom;;;8;;;;;
19 de dezembro de 2022;Muito bom;;;8;;;;;
17 de dezembro de 2022;Muito bom;;;8;;;;;
16 de dezembro de 2022;Bom;;;7;;;;;
13 de dezembro de 2022;Fantástico;;;9;;;;;
13 de dezembro de 2022;Fantástico;;;9;;;;;
11 de dezembro de 2022;Fantástico;;;9;;;;;
5 de dezembro de 2022;Bom;;;7;;;;;
3 de dezembro de 2022;Fantástico;;;9;;;;;
28 de novembro de 2022;Muito bom;;;8;;;;;
19 de novembro de 2022;Muito bom;;;8;;;;;
19 de novembro de 2022;Muito bom;;;8;;;;;
16 de novembro de 2022;Bom;;;7;;;;;
16 de novembro de 2022;Fantástico;;;9;;;;;
14 de novembro de 2022;Muito bom;;;8;;;;;
7 de novembro de 2022;Muito bom;;;8;;;;;
29 de outubro de 2022;Muito bom;;;8;;;;;
29 de outubro de 2022;Bom;;;7;;;;;
23 de outubro de 2022;Muito bom;;;8;;;;;
23 de outubro de 2022;Bom;;;7;;;;;
14 de outubro de 2022;Fantástico;;;9;;;;;
11 de outubro de 2022;Muito bom;;;8;;;;;
7 de outubro de 2022;Muito bom;;;8;;;;;
28 de setembro de 2022;Bom;;;7;;;;;
14 de setembro de 2022;Muito bom;;;8;;;;;
8 de setembro de 2022;Muito bom;;;8;;;;;
4 de setembro de 2022;Muito bom;;;8;;;;;
31 de agosto de 2022;Fantástico;;;9;;;;;
29 de agosto de 2022;Muito bom;;;8;;;;;
25 de agosto de 2022;Fantástico;;;9;;;;;
24 de agosto de 2022;Muito bom;;;8;;;;;
22 de agosto de 2022;Muito bom;;;8;;;;;
20 de agosto de 2022;Fantástico;;;9;;;;;
16 de agosto de 2022;Fantástico;;;9;;;;;
14 de agosto de 2022;Muito bom;;;8;;;;;
11 de agosto de 2022;Bom;;;7;;;;;
8 de agosto de 2022;Muito bom;;;8;;;;;
8 de agosto de 2022;Muito bom;;;8;;;;;
1º de agosto de 2022;Bom;;;7;;;;;
19 de julho de 2022;Muito bom;;;8;;;;;
10 de julho de 2022;Muito bom;;;8;;;;;
7 de julho de 2022;Fantástico;;;9;;;;;
23 de junho de 2022;Muito bom;;;8;;;;;
17 de junho de 2022;Muito bom;;;8;;;;;
13 de junho de 2022;Bom;;;7;;;;;
25 de maio de 2022;Muito bom;;;8;;;;;
13 de maio de 2022;Muito bom;;;8;;;;;
28 de abril de 2022;Muito bom;;;8;;;;;
10 de abril de 2022;Muito bom;;;8;;;;;
7 de abril de 2022;Bom;;;7;;;;;
5 de abril de 2022;Muito bom;;;8;;;;;
4 de abril de 2022;Bom;;;7;;;;;
31 de março de 2022;Bom;;;7;;;;;
29 de março de 2022;Muito bom;;;8;;;;;
25 de março de 2025;Excepcional;;;10;;;;;
24 de março de 2025;Excepcional;;;10;;;;;
23 de março de 2025;Excepcional;;;10;;;;;
22 de março de 2025;Excepcional;;;10;;;;;
20 de março de 2025;Excepcional;;;10;;;;;
15 de março de 2025;Excepcional;;;10;;;;;
14 de março de 2025;Excepcional;;;10;;;;;
14 de março de 2025;Excepcional;;;10;;;;;
13 de março de 2025;Excepcional;;;10;;;;;
8 de março de 2025;Excepcional;;;10;;;;;
22 de fevereiro de 2025;Excepcional;;;10;;;;;
18 de fevereiro de 2025;Excepcional;;;10;;;;;
15 de fevereiro de 2025;Excepcional;;;10;;;;;
12 de fevereiro de 2025;Excepcional;;;10;;;;;
3 de fevereiro de 2025;Aceitável;;;5;;;;;
31 de janeiro de 2025;Péssimo;;;1;;;;;
20 de janeiro de 2025;Decepcionante;;;4;;;;;
19 de janeiro de 2025;Excepcional;;;10;;;;;
11 de janeiro de 2025;Excepcional;;;10;;;;;
7 de janeiro de 2025;Excepcional;;;10;;;;;
7 de janeiro de 2025;Excepcional;;;10;;;;;
6 de janeiro de 2025;Excepcional;;;10;;;;;
5 de janeiro de 2025;Excepcional;;;10;;;;;
5 de janeiro de 2025;Excepcional;;;10;;;;;
23 de dezembro de 2024;Excepcional;;;10;;;;;
19 de dezembro de 2024;Excepcional;;;10;;;;;
10 de dezembro de 2024;Aceitável;;;5;;;;;
6 de dezembro de 2024;Excepcional;;;10;;;;;
6 de dezembro de 2024;Excepcional;;;10;;;;;
29 de novembro de 2024;Excepcional;;;10;;;;;
28 de novembro de 2024;Excepcional;;;10;;;;;
27 de novembro de 2024;Excepcional;;;10;;;;;
15 de novembro de 2024;Aceitável;;;5;;;;;
13 de novembro de 2024;Excepcional;;;10;;;;;
3 de novembro de 2024;Satisfatório;;;6;;;;;
23 de outubro de 2024;Excepcional;;;10;;;;;
21 de outubro de 2024;Excepcional;;;10;;;;;
16 de setembro de 2024;Excepcional;;;10;;;;;
1º de setembro de 2024;Excepcional;;;10;;;;;
26 de agosto de 2024;Aceitável;;;5;;;;;
26 de agosto de 2024;Excepcional;;;10;;;;;
23 de agosto de 2024;Decepcionante;;;4;;;;;
23 de agosto de 2024;Excepcional;;;10;;;;;
24 de julho de 2024;Excepcional;;;10;;;;;
22 de julho de 2024;Excepcional;;;10;;;;;
14 de julho de 2024;Péssimo;;;1;;;;;
10 de julho de 2024;Excepcional;;;10;;;;;
28 de junho de 2024;Excepcional;;;10;;;;;
16 de junho de 2024;Excepcional;;;10;;;;;
6 de junho de 2024;Excepcional;;;10;;;;;
26 de abril de 2024;Decepcionante;;;4;;;;;
24 de abril de 2024;Excepcional;;;10;;;;;
21 de abril de 2024;Excepcional;;;10;;;;;
21 de abril de 2024;Péssimo;;;1;;;;;
15 de abril de 2024;Excepcional;;;10;;;;;
15 de abril de 2024;Excepcional;;;10;;;;;
28 de março de 2024;Excepcional;;;10;;;;;
24 de março de 2024;Excepcional;;;10;;;;;
24 de março de 2024;Excepcional;;;10;;;;;
21 de março de 2024;Excepcional;;;10;;;;;
1º de março de 2024;Excepcional;;;10;;;;;
26 de fevereiro de 2024;Excepcional;;;10;;;;;
24 de fevereiro de 2024;Excepcional;;;10;;;;;
4 de fevereiro de 2024;Excepcional;;;10;;;;;
4 de fevereiro de 2024;Satisfatório;;;6;;;;;
19 de janeiro de 2024;Excepcional;;;10;;;;;
19 de janeiro de 2024;Excepcional;;;10;;;;;
16 de janeiro de 2024;Excepcional;;;10;;;;;
13 de janeiro de 2024;Excepcional;;;10;;;;;
13 de janeiro de 2024;Excepcional;;;10;;;;;
9 de janeiro de 2024;Excepcional;;;10;;;;;
5 de janeiro de 2024;Aceitável;;;5;;;;;
2 de janeiro de 2024;Aceitável;;;5;;;;;
9 de dezembro de 2023;Satisfatório;;;6;;;;;
23 de novembro de 2023;Aceitável;;;5;;;;;
17 de novembro de 2023;Satisfatório;;;6;;;;;
12 de novembro de 2023;Excepcional;;;10;;;;;
31 de outubro de 2023;Excepcional;;;10;;;;;
24 de outubro de 2023;Excepcional;;;10;;;;;
24 de outubro de 2023;Excepcional;;;10;;;;;
19 de outubro de 2023;Excepcional;;;10;;;;;
18 de outubro de 2023;Satisfatório;;;6;;;;;
15 de outubro de 2023;Excepcional;;;10;;;;;
15 de outubro de 2023;Excepcional;;;10;;;;;
14 de outubro de 2023;Excepcional;;;10;;;;;
16 de setembro de 2023;Excepcional;;;10;;;;;
8 de setembro de 2023;Excepcional;;;10;;;;;
16 de agosto de 2023;Excepcional;;;10;;;;;
29 de julho de 2023;Excepcional;;;10;;;;;
23 de julho de 2023;Excepcional;;;10;;;;;
11 de junho de 2023;Excepcional;;;10;;;;;
5 de junho de 2023;Excepcional;;;10;;;;;
21 de maio de 2023;Excepcional;;;10;;;;;
10 de maio de 2023;Satisfatório;;;6;;;;;
30 de abril de 2023;Satisfatório;;;6;;;;;
12 de abril de 2023;Decepcionante;;;4;;;;;
3 de abril de 2023;Satisfatório;;;6;;;;;
2 de abril de 2023;Excepcional;;;10;;;;;
1º de abril de 2023;Excepcional;;;10;;;;;
28 de março de 2023;Excepcional;;;10;;;;;
24 de março de 2023;Excepcional;;;10;;;;;
17 de março de 2023;Ruim;;;3;;;;;
16 de março de 2023;Excepcional;;;10;;;;;
16 de março de 2023;Aceitável;;;5;;;;;
14 de março de 2023;Excepcional;;;10;;;;;
12 de março de 2023;Excepcional;;;10;;;;;
25 de fevereiro de 2023;Excepcional;;;10;;;;;
23 de fevereiro de 2023;Excepcional;;;10;;;;;
18 de fevereiro de 2023;Excepcional;;;10;;;;;
13 de fevereiro de 2023;Excepcional;;;10;;;;;
8 de fevereiro de 2023;Excepcional;;;10;;;;;
7 de fevereiro de 2023;Muito ruim;;;2;;;;;
1º de fevereiro de 2023;Excepcional;;;10;;;;;
1º de fevereiro de 2023;Excepcional;;;10;;;;;
31 de janeiro de 2023;Excepcional;;;10;;;;;
31 de janeiro de 2023;Excepcional;;;10;;;;;
28 de janeiro de 2023;Excepcional;;;10;;;;;
25 de janeiro de 2023;Excepcional;;;10;;;;;
18 de janeiro de 2023;Excepcional;;;10;;;;;
18 de janeiro de 2023;Excepcional;;;10;;;;;
17 de janeiro de 2023;Excepcional;;;10;;;;;
8 de janeiro de 2023;Excepcional;;;10;;;;;
8 de janeiro de 2023;Satisfatório;;;6;;;;;
4 de janeiro de 2023;Excepcional;;;10;;;;;
30 de dezembro de 2022;Excepcional;;;10;;;;;
19 de dezembro de 2022;Aceitável;;;5;;;;;
18 de dezembro de 2022;Aceitável;;;5;;;;;
17 de dezembro de 2022;Satisfatório;;;6;;;;;
13 de dezembro de 2022;Aceitável;;;5;;;;;
9 de dezembro de 2022;Excepcional;;;10;;;;;
8 de dezembro de 2022;Excepcional;;;10;;;;;
8 de dezembro de 2022;Excepcional;;;10;;;;;
4 de dezembro de 2022;Aceitável;;;5;;;;;
27 de novembro de 2022;Muito ruim;;;2;;;;;
22 de novembro de 2022;Excepcional;;;10;;;;;
21 de novembro de 2022;Excepcional;;;10;;;;;
20 de novembro de 2022;Excepcional;;;10;;;;;
19 de novembro de 2022;Decepcionante;;;4;;;;;
12 de novembro de 2022;Aceitável;;;5;;;;;
11 de novembro de 2022;Excepcional;;;10;;;;;
26 de outubro de 2022;Excepcional;;;10;;;;;
24 de outubro de 2022;Excepcional;;;10;;;;;
20 de outubro de 2022;Excepcional;;;10;;;;;
17 de outubro de 2022;Excepcional;;;10;;;;;
16 de outubro de 2022;Ruim;;;3;;;;;
14 de outubro de 2022;Aceitável;;;5;;;;;
12 de outubro de 2022;Excepcional;;;10;;;;;
11 de outubro de 2022;Excepcional;;;10;;;;;
15 de setembro de 2022;Satisfatório;;;6;;;;;
21 de agosto de 2022;Péssimo;;;1;;;;;
17 de agosto de 2022;Excepcional;;;10;;;;;
17 de agosto de 2022;Muito ruim;;;2;;;;;
14 de agosto de 2022;Excepcional;;;10;;;;;
11 de agosto de 2022;Aceitável;;;5;;;;;
8 de agosto de 2022;Aceitável;;;5;;;;;
1º de agosto de 2022;Excepcional;;;10;;;;;
23 de julho de 2022;Satisfatório;;;6;;;;;
20 de julho de 2022;Excepcional;;;10;;;;;
17 de julho de 2022;Excepcional;;;10;;;;;
11 de julho de 2022;Aceitável;;;5;;;;;
30 de junho de 2022;Excepcional;;;10;;;;;
13 de junho de 2022;Excepcional;;;10;;;;;
26 de maio de 2022;Excepcional;;;10;;;;;
