data_avaliacao;titulo;comentario_positivo;comentario_negativo;nota;;;;;;;;;
19 de setembro de 2024;Para una estadia de una noche esta habitacion esta bien;Desayuno y ubicacion son los puntos fuertes . El desayuno es abundante y variado y comienza a servirse a las 6 am, por lo que favorece a las personas que tienen vuelos por la mañana. Esta cerca del aeropuerto y en la Avenida Boa Viagem, y enfrente tiene un sector de playa en el que se puede bañar en marea baja. La habitacion estaba limpia y ordenada;Aunque sabia que la habitacion que habia alquilado estaba sin reformar y por eso era mas barata que otras que si estaban reformadas, los muebles estaban ya viejos, y la bañera tenia el drenaje tapado, el baño parecia estar sin finalizar, baldosas mal pegadas, y las terminaciones de las paredes desprolijas.;8;;;;;;;;;
30 de agosto de 2024;👍👍👍👍;C’est été Super;Le Restaurant;9;;;;;;;;;
23 de agosto de 2024;Coup de cœur;L’hôtel est confortable vu sur la mer , le petit déjeuner était formidable et variée . Personnel très aimable et serviable. Um grande obrigada a senhora da “tapioca « vraiment délicieux .;;9;;;;;;;;;
10 de julho de 2024;Fantástico;Muy buena ubicación y buena atención;;9;;;;;;;;;
15 de abril de 2024;Fantástico;Alles top, super Frühstück;;9;;;;;;;;;
3 de abril de 2024;Es war ein sehr schöne Zeit.;Localization,das essen ,sympathisches personal und die Fantastische Meeresblick!!!!;;9;;;;;;;;;
23 de março de 2024;Bien, aceptable;La cercanía a todo, la vista;Estaba en remodelación. ;;;;;;;;;;
Tal vez le haga falta acolchados;" mas almohadas y almohadones a la cama. Solo tenía la sábana y 2 almohadas. Por la noche estaba fresca la habitación.""";8;;;;;;;;;;;
23 de março de 2024;Buon soggiorno;Mi hanno dato una camera superiore, perché ero arrivata nel giorno delle donne. Anche se aveva dei difetti, sono stata benissimo.;La cucina lasciava a desiderare .;8;;;;;;;;;
7 de março de 2024;Muito bom;Das Bett und Frühstück.;Einen Hund bei Empfang.;;;;;;;;;;
"😕""";8;;;;;;;;;;;;
3 de março de 2024;ottima la.posizione;la posizione e la stanza;spazi comuni;7;;;;;;;;;
5 de fevereiro de 2024;Bom;Estuvo todo bien....nada extraordinario, pero estuvimos en otra opción y estaba mucho mejor;Falta de empatia.....;7;;;;;;;;;
4 de fevereiro de 2024;Angenehmes Strandhotel;Toplage direkt am Strand. Super Auswahl beim Frühstück. Sauberes und großes Zimmer. Sehr freundliches Personal. Angenehmer Poolbereich mit ganztägigem Essensangebot und guter Qualität.;Lobby wird umgebaut. Aktuell sehr ungemütlich und nur zu Checkin und Checkout zu gebrauchen.;9;;;;;;;;;
1º de fevereiro de 2024;Muito bom;Desayuno excelente. Muy variado;;;;;;;;;;;
Ubicación buena muy cerca de la playa;;;;;;;;;;;;;
"Habitación grande confortable""";;8;;;;;;;;;;;
30 de dezembro de 2023;Pas comme dans les photos;Petit déjeuner très complet, l'emplacement de l'hôtel est très agréable pour aller à la plage. Le personnel est très sympathique et disponible. Tout est très propre.;L'hôtel a besoin d'une réforme urgente. Les chambres sont vides, froides, sans aucune touche de décoration. À cause des travaux, pas de restaurant pour les dîners, seulement le bar de la piscine avec une carte très réduite pour tout le séjour. ;;;;;;;;;;
Il serait plus judicieux de fermer pendant les travaux;" car l'hôtel n'est plus à la hauteur de son nom ni de la chaîne.""";7;;;;;;;;;;;
27 de dezembro de 2023;Goede locatie en vriendelijk personeel(volgende keer weer maar dan een gerenoveerde kamer;Locatie en vriendelijk personeel;——;8;;;;;;;;;
20 de dezembro de 2023;Volvería a recife;Ubicación, servicio, desayuno excelente!;;;;;;;;;;;
Confort ;;;;;;;;;;;;;
Habitación excelente ;;;;;;;;;;;;;
"Estructura del hotel solida""";La piscina estuvo en servicio durante mi estadía;9;;;;;;;;;;;
20 de dezembro de 2023;Der Aufenthalt war Super;Das Frühstück war super. Es gibt Leute die arbeiten fürs Geld und andere die arbeiten mit Herz und Leidenschaft.;Wenn es einem nicht gefällt muss man nicht hingehen. Wir sind schon öfters in diesem Hotel gewesen. (also gefällt es einem);7;;;;;;;;;
18 de dezembro de 2023;Bom;Situation;Propreté moyenne;7;;;;;;;;;
2 de dezembro de 2023;Tiene potencial para mejorar la estadía;Primera línea frente al mar, sin embargo no ofrecen servicio en la playa;La habitación olía a guardado y los pasillos eran oscuros;8;;;;;;;;;
31 de outubro de 2023;Excelente!;Local excelente!;;;;;;;;;;;
Destaco o pessoal de cozinha que prepara tudo com muito zelo; o café da manhã impecável; tudo muito bem organizado; nota-se o zelo de toda equipe comandada pela nutricionista Angélica; a qual tive o prazer de conhecer; deixo meu agradecimento a todos do hotel que fizeram de minha hospedagem uma experiência maravilhosa.;;;;;;;;
"A toda equipe de cozinha deixo meus agradecimentos e os parabéns!""";Tudo muito bom!;9;;;;;;;;;;;
27 de outubro de 2023;Très bien dans l'ensemble;J'ai surtout apprécié le cadre et la proximité avec la plage. La chambre était très spacieuse avec vue sur la mer. Les employés de ménage ont été très aimables et toujours prêts à aider.;;8;;;;;;;;;
27 de outubro de 2023;Comodo y tranquilo, falto tener sombrilla y reposeras en la playa frente al hotel;Muy completo;sin observaciones;7;;;;;;;;;
24 de outubro de 2023;Agradable;Bien ubicado y la habitación estuvo bien;;;;;;;;;;;
"Desayuno exquisito""";Cumplió todos sus cometidos;8;;;;;;;;;;;
21 de outubro de 2023;très beau , mais dérangé par le rayonnement des antennes sur le toit;la position , la vue front de mer, le petit déjeuner , chambre grande, équipée et propre;les antennes rayonnantes sur le toit de l'hôtel;9;;;;;;;;;
20 de outubro de 2023;Servicio bueno pero el hotel tuvo tiempos mejores;El desayuno continental es muy bueno y se sirve a partir de las 6 de la mañana en el restaurant en el piso P donde tambien hay un bar y la piscina.;;;;;;;;;;;
Television nueva con apps de streaming;pero sin subscripcion incluida; tiene Pluto TV;" tiene cofre fort gratis""";La habitacion hace un tiempo fue reformada a medias , se nota el paso del tiempo sobre todo en los muebles y espejos, en el baño se nota mas que fue un arreglo descuidado, de todas maneras no hay problemas tecnicos, ni con los artefactos sanitarios ni con la ducha o el lavatorio. la presion del agua es buena y hay articulos de aseo.;8;;;;;;;;
20 de outubro de 2023;Buena estancia;Ubicación ;;;;;;;;;;;
Amabilidad del personal ;;;;;;;;;;;;;
Restaurante y terraza de piscina ;;;;;;;;;;;;;
"Amplitud de habitación""";;8;;;;;;;;;;;
9 de outubro de 2023;Une vue à couper le souffle !;Le personnel est vraiment adorable et aux petits soins. C'est vraiment agréable. ;;;;;;;;;;;
"La vue de la chambre sur la plage de Boa Viager est juste magnifique !""";Le lit et la salle de bain que je trouve vieillissante;7;;;;;;;;;;;
10 de setembro de 2023;Fui muito bem atendido e a localização é muito boa.;O lugar;;8;;;;;;;;;
19 de agosto de 2023;UNO DEI MIGLIORI A RECIFE!!!;La camera molto bella e spaziosa, con una zona ingresso con salottino e la zona letto molto ampia anche lei, bagno pulito e ben fatto, ottima la posizione sicuramente tra i migliori hotel di Recife.;La prima colazione è un po povera in termini di scelta ma le pietanze proposte sono tutte di buona qualità .;9;;;;;;;;;
15 de agosto de 2023;Ótimo café da manha e boa localização;Excelente café da manha . Com uma vista para a praia .;Conservação do hotel . Paredes com infiltração . O sofá do nosso quarto com sinais de mofo e desgaste . Baneiro com má conservação.;7;;;;;;;;;
12 de agosto de 2023;Muito bom;Niedaleko do lotniska i kilka kroków do plaży. Obiekt duży z przestronnymi pokojami. Śniadanie obfite.;;8;;;;;;;;;
9 de agosto de 2023;Muito bom;Ubicación;Olor a humedad en las habitaciones.;8;;;;;;;;;
30 de julho de 2023;Bom;schöner platz am strand. aber leider ist das hote im umbau.;altes struktur, im umbau. neue zimmer sind verfügbar und gut aber auch das frühstück ist immer voll da platz nur in einem ort ist.;7;;;;;;;;;
29 de julho de 2023;Muito bom;Good;Good;8;;;;;;;;;
11 de julho de 2023;Gut;Lage ist gut, Frühstück ausreichend, Dusche. Perfekt;An der ein oder anderen Stelle ist das Hotel doch schon sehr runter gekommen;8;;;;;;;;;
27 de junho de 2023;Bom;El desayuno y la atención en recepción;Las habitaciones son antiguas y poco mantenidas, para un nivel de Mercury esperábamos algo mejor y moderno.;7;;;;;;;;;
18 de junho de 2023;kort maar door airco slaap tekort.;locatie en faciliteiten uitstekend;verschrikkelijk lawaaierige airco op;;;;;;;;;;
"hoogste stand""";8;;;;;;;;;;;;
9 de junho de 2023;In die Jahre gekommenes holet mit viel Potential;Sehr schöne Lage zentral am Strand;Das Hietl wir gerade renoviert. Hierzu hat man uns im Vorfeld nicht informiert. Ein renoviertes Zimme wie eigentlich gesucht kostete Aufpreis. Meine Kollegen bekamen erst Garmisch das Angebot. Freie Zimmer hätte es gegeben. Trotz der Bestätigung duch die Rezeption hat sich nichts geändert.;7;;;;;;;;;
29 de maio de 2023;Buena experiencia;Lo que más me gustó fue el desayuno, muy rico y muy completo y variado! ;;;;;;;;;;;
;;;;;;;;;;;;;
"Lo otro que me gustó es estár frente a la playa""";Las habitaciones antiguas por lo que había pocos lugares para conectarse a la electricidad y el lavamanos estaba tapado;8;;;;;;;;;;;
9 de maio de 2023;Fantástico;le personnel l’emplacement;chambres vieillottes;9;;;;;;;;;
24 de abril de 2023;bonne experience;buffet parfait;piscine a remettre au gout dujour;8;;;;;;;;;
6 de abril de 2023;Vue superbe et bel emplacement mais service de restauration à améliorer;Grande chambre avec vue mer de grande qualité. Propreté impeccable. Personnel agréable. Localisation face à la plage dans une zone sécurisée, à l'abri de la ceinture de recifes.;Restaurant et terrasse très vielissants. Cuisine approximative. Prix du mini-bar excessifs. Petit déjeuner de niveau insuffisant pour le standing de l'établissement. Service de voiturier à améliorer, le temps d'attente du véhicule est excessif;7;;;;;;;;;
4 de abril de 2023;increible;Excelemte;Nada;9;;;;;;;;;
26 de março de 2023;Mucho olor a humedad.;Lo que más me gustó es la ubicación. Igual no hay mucho cerca lo bueno que tiene restaurant propio muy rico y el desayuno buffet delicioso con la vista del agua;;;;;;;;;;;
"La piscina tb muy buena. La habitación era grande.""";El olor a humedad impresionante en los pasillos y habitación! Eso le quita bastante . Y lo otro me pareció que si es un hotel de categoría que te cobren el estacionamiento 25 R diarios.;7;;;;;;;;;;;
26 de março de 2023;Fantástico;El hotel está muy bien y muy bien ubicado en la playa de Boa Viagem!;;9;;;;;;;;;
17 de março de 2023;Muito bom;Tiene la mejor ubicación, pero no es un hotel 5 estrellas, lr falta mucho para esa categoría, podria ser mejor, ofrecer por ejemplo en el lobby agua de cortesia. Muy buen desayuno y variado;La relacion precio calidad, y detallar que no es 5 estrellas.;8;;;;;;;;;
28 de fevereiro de 2023;Séjour à Récife face à l’océan;l’emplacement face à l’océan et la plage.;;;;;;;;;;;
la disponibilité et l’amabilité du personnel.;;;;;;;;;;;;;
grandes chambres avec vue sur mer.;;;;;;;;;;;;;
la piscine et son bar (excellentes glaces maison).;;;;;;;;;;;;;
"le petit-déjeuner varié.""";il faudrait rafraichir certaines chambres ( miroirs opaques qu’il faudrait remplacer).;;;;;;;;;;;;
il n’est pas possible d’ajuster la temperature de la climatisation dans certaines chambres.;;;;;;;;;;;;;
"pas de poubelle en dehors de celle qui était dans la salle de bain.""";8;;;;;;;;;;;;
19 de fevereiro de 2023;Muy bueno;Ubicación y personal;Goteras en el pasillo del 5 to piso;9;;;;;;;;;
15 de fevereiro de 2023;Muito bom;Das Haus ist natürlich schon in die jahre gekommen, jedoch sehr sauber. Sehr freundliches Personal. Super Lage, direkt am Strand. Fenster auf, ohne Klima geschlafen. pool auch sehr sauber. Tolles Frühstück. komme gerne wieder.;;8;;;;;;;;;
15 de fevereiro de 2023;Fantástico;El confort de la habitación y la ubicación del hotel;.;9;;;;;;;;;
8 de fevereiro de 2023;Bom;Lage, sehr grosse Zimmer.;Sehr kleiner swimming pool. Lift mit langer Wartezeit.;7;;;;;;;;;
8 de fevereiro de 2023;Agréable;Tout. Même si l’hôtel était en travaux;Le salle de bains était jolie. Mais elle avait une odeur d’égouts;8;;;;;;;;;
8 de fevereiro de 2023;Bom;ubicacion;que el personal no hablaba español y no podían entenderte ni a la hora de abonar;7;;;;;;;;;
5 de fevereiro de 2023;Fantástico;Ubicación,limpieza desayuno;El hall de entrada;9;;;;;;;;;
4 de fevereiro de 2023;Muito bom;la atencion del personal fue espectacular;;8;;;;;;;;;
15 de janeiro de 2023;Muito bom;La.ubicaciom;las.instalaciones;8;;;;;;;;;
12 de janeiro de 2023;Fantástico;El personal es muy eficiente y predispuesto;Todo perfecto no hay comentarios negativo;9;;;;;;;;;
1º de janeiro de 2023;Muito bom;La ubicacion y el personal;Un poco de olor a humedad en la habitación.;8;;;;;;;;;
31 de dezembro de 2022;Bom;La località;Risrorante e bar;7;;;;;;;;;
29 de dezembro de 2022;Personnel top - bonne localisation;C'est notre deuxième séjour au Grand Mercure. ;;;;;;;;;;;
Le personnel est toujours aussi attentionné et gentil; c'est ce qui nous a fait revenir dans cet hôtel.;;;;;;;;;;;;
"L'emplacement de l'hôtel est parfait pour accéder à la plage et aux différents points touristiques.""";Les chambres ont vraiment besoin d'être refaites... les meubles sont vraiment usés et la baignoire/douche vétuste.;8;;;;;;;;;;;
25 de dezembro de 2022;Fantástico;La ubicación y el desayuno;Que pocos hablan español;9;;;;;;;;;
21 de dezembro de 2022;Muito bom;la ubicación y la comida;era un hotel antiguo;8;;;;;;;;;
12 de dezembro de 2022;Muito bom;Viaje con una amiga y solo nos quedamos una noche, la recepción súper bien, asimismo el servicio del restaurant para cenar. El desayuno desde las 6am fue lo mejor de todo, las camas súper cómodas y la piscina que está abierta hasta las 21hs.;A pesar de estar en remodelación, el hotel es un poco viejo, sería espectacular si actualizaran un poco la estética en general.;8;;;;;;;;;
12 de dezembro de 2022;Aardig personeel, en goed ontbijt, maar kamer zijn niet goed.;uitzicht op zee;We hadden een kamer gekregen waar in de kledingkast heel veel schimmel zat. gelukkig hadden we heel snel een nieuwe kamer gekregen. Maar de kamer was heel gedateerd. We hadden redelijk veel betaald voor de kamer. Toen ik ging reserveren zagen de foto’s van de kamer er heel goed uit, maar dit waren de foto’s van de gerenoveerde kamers . Dit vindt ik heel jammer. Wij komen uit Nederland en komen niet heel vaak in Brazilië en wil daarom dat alles goed is geregeld en krijg waarvoor ik heb betaald.;7;;;;;;;;;
11 de dezembro de 2022;Fantástico;la piscina;la limpieza de mi habitación;9;;;;;;;;;
5 de dezembro de 2022;fuimos dos dias y no tuvimos limpieza del dormitorio;el desayuno genial;un poco descuidada por el valor que pagamos .;7;;;;;;;;;
9 de novembro de 2022;Hotelzimmer in die Jahre gekommen;Gutes Frühstück auf offener Terrasse;Zimmer in die Jahre gekommen. Alte Möbel etc;7;;;;;;;;;
30 de outubro de 2022;Muito bom;Zentraler Standort, direkt am Strand. ;;;;;;;;;;;
"Frühstück war hervorragend mit genügender Auswahl.""";Mussten zweimal frische Frotteetücher selber organisieren weil sie vergessen wurden. ;;;;;;;;;;;;
Zimmer wurde am letzten Ferientag nicht gereinigt. ;;;;;;;;;;;;;
Klimaanlage im Zimmer ging defekt; dadurch gab es einen Kondenswassereinbruch mit sehr viel Wasser am Boden. Es ging enorm lange;" bis dieser Schaden behoben wurde.""";8;;;;;;;;;;
19 de outubro de 2022;Aprobado;La habitación es tal cual las fotos, las vistas a la playa de Boa Viagem están muy buenas. El desayuno también es muy bueno.;El aire acondicionado no enfriaba mucho siquiera en el mínimo (10º). Por el sistema de regulación, se nota que son muy viejos. Llamamos para arreglarlo y vinieron a verlo rápido, pero evidentemente no era algo que pudieran solucionar.;8;;;;;;;;;
8 de outubro de 2022;Un hôtel avec une vue magnifique à Boa Viagem;Un hôtel bien placé à Boa Viagem. Nous avons eu un appartement bien spacieux avec une vue mer fantastique. C’est un vieux hôtel mais il y’a toujours du confort.;;8;;;;;;;;;
28 de setembro de 2022;Fantástico;la ubicación;;9;;;;;;;;;
24 de setembro de 2022;BIEN UBICADO;EXCELENTE DESAYUNO;ME ENTREGARON LA HABITACIÓN CON MUCHA DEMORA;8;;;;;;;;;
12 de setembro de 2022;Buena ubicación, no es para nada un 5 Estrellas;Atención del Personal;Habitación Vieja y con poco mantenimiento;7;;;;;;;;;
29 de agosto de 2022;agradable;personal amable;;9;;;;;;;;;
27 de agosto de 2022;Preis Leistung stimmt nicht mehr;großes Zimmer ;;;;;;;;;;;
sehr gute Pflegeprodukte;;;;;;;;;;;;;
"wunderbare Angestellte""";sehr fette Spaghetti mit Hackfleisch ;;;;;;;;;;;;
25 Grad draußen ;;;;;;;;;;;;;
"Lobby und Speisesaal 20? 😅😂""";8;;;;;;;;;;;;
23 de agosto de 2022;wie immer sehr gut zum Kraft tanken zwischendurch;Frühstück wie immer sehr gut, Personal sehr lieb und aufmerksam. ;;;;;;;;;;;
"Lage super gut.""";das der Kaffee am Zimmer den man selber machen kann, extra kostet. ;;;;;;;;;;;;
Klimaanlage zu hoch gedreht im Speisesaal ;;;;;;;;;;;;;
Frühstück definitiv zu teuer;;;;;;;;;;;;;
Achtung: Liegen Strand vor dem Hotel (absolutes no go 50 real für den Klappstuhl;" 50 m weiter wieder im Rahmen)""";8;;;;;;;;;;;
5 de agosto de 2022;Muito bom;localização;preço qualidade;8;;;;;;;;;
21 de julho de 2022;Excelente ubicación y linda vista.;La vista de la playa y el mar desde todas las habitaciones es un plus. La ubicación es muy buena, sobre la playa de Boa Viagem.;Están haciendo obras de refacción, pero nos lo advirtieron antes de llegar. Quedará muy bien cuando terminen.;9;;;;;;;;;
18 de julho de 2022;ottima soluzione fronte spiaggia per soggiorno a Recife;ottima posizione, camera spaziosa, luminosa di standard europeo ;;;;;;;;;;;
"ottima colazione e buon ristorante.""";;9;;;;;;;;;;;
7 de maio de 2022;Muito bom;;La piscine indisponible et les travaux de rénovation en cours;8;;;;;;;;;
19 de abril de 2022;Muito bom;#NOME?;;;;;;;;;;;
#NOME?;;;;;;;;;;;;;
#NOME?;;;;;;;;;;;;;
- Fitnessgeräte sind alt und funktionieren nicht!;;;;;;;;;;;;;
"- alte Zimmer! Einrichtung wie vor 40 Jahren!""";;8;;;;;;;;;;;
18 de abril de 2022;Bom;ubicación y tamaño de las habitaciones;estan en obra. La pileta es un chiste;7;;;;;;;;;
11 de abril de 2022;Buen lugar si priorizas ubicacion;Ubicación, la vista y el desayuno. También el agua de la ducha que sale con mucha presión! La playa frente permitía baño cuando la marea baja.;Habitaciones y pasillos se nota que le faltan mantenimiento (humedad en techos y paredes), baños antiguos, cama muy blanda. En general el estado esta más deteriorado de lo que se ve en las fotos.;7;;;;;;;;;
29 de março de 2025;Satisfatório;;Hotel viejo, necesita remodelación. Nos quedamos sin agua para bañarnos;6;;;;;;;;;
5 de março de 2025;Siempre volveria;Muy buen hotel. Todo excelente 👌. Ya me había hospedado el año pasado por eso volvimos. ;;;;;;;;;;;
"Saludos desde la patagonia Argentina""";;10;;;;;;;;;;;
23 de fevereiro de 2025;No recomiendo;Cerca de la playa (que no te puedes bañar porque hay tiburones);Desayuno pobre, piezas súper antiguas. No nos hicieron aseo y tuvimos que pedir que lo hicieran.;6;;;;;;;;;
15 de fevereiro de 2025;Ich komme wieder;Schöne Lager, sehr freundliche Mitarbeiter;;10;;;;;;;;;
15 de fevereiro de 2025;Muy bueno;Lindo hotel y habitaciones excelente. Muy bien atendido por Xodó! Perrito anfitrion del hotel;;10;;;;;;;;;
14 de fevereiro de 2025;Pas terrible;;Chambre qui sentait le moisi, fuite à tous les étages, fenêtres ne fermant pas et vibrant avec le vent...;;;;;;;;;;
Gel douche à l'extérieur de la douche pratique non !;;;;;;;;;;;;;
Pas digne d'un Mercure. ;;;;;;;;;;;;;
"Aurait besoin d'un rafraîchissement""";5;;;;;;;;;;;;
11 de fevereiro de 2025;Satisfatório;La ubicacion;La limpieza, las sabanas, me parecio caro para lo q ofrecian pense q era mucho mejor .;6;;;;;;;;;
28 de janeiro de 2025;Aceitável;El desayuno es bastante bueno. Cercanía a shopping.;Habitaciones con humedad. La zona es fea en esa manzana. Se cortó la luz y no hubo ascensores por un tiempo. Nos prometieron habitaciones contiguas y no lo cumplieron. Caja de seguridad de pago. Ducha se tapaba por el desague;5;;;;;;;;;
22 de janeiro de 2025;Engstirniges personal keine englischkenntnisse;Nix;Alles;2;;;;;;;;;
20 de janeiro de 2025;Vacaciones de lujo;Desayuno espléndido, habitación súper bonita limpia, cama extra grande. Bonitas vistas;Uso de ascensor con tarjeta costaba que la leyera para pulsar la planta y cada dos por tres tenías que ir a recepción que te la activaran.;10;;;;;;;;;
10 de janeiro de 2025;Soggiorno piacevole e più che soddisfacente;La super colazione del mattino;L ascensore con tessera obbligatoria per poterlo utilizzare;10;;;;;;;;;
2 de janeiro de 2025;Insgesamt ein sehr empfehlenswerter Hotel.;Die Lage des Hotels war hervorragend.;Es gab nur 2 Aufzüge.;10;;;;;;;;;
16 de dezembro de 2024;Dommage que cela se termine de cette manière;;Nous avons fait le Check out et je reçois une mise en demeure de la part de la préfecture, pour payer ma chambre !!! Je pense que le personnel a gardé pour lui la somme d’argent en espèce qui a servi à payer ma chambre .;;;;;;;;;;
"Attention !!""";4;;;;;;;;;;;;
15 de dezembro de 2024;Satisfatório;La vue sur Mer ;;;;;;;;;;;
Douche spacieuse ;;;;;;;;;;;;;
"Le ménage dans la chambre""";La salle de sport (propreté);;;;;;;;;;;;
La porte qui claque ;;;;;;;;;;;;;
Pas de fer à repasser à disposition inadmissible ;;;;;;;;;;;;;
Même si c'est soi-disant pour une question de sécurité il existe plusieurs solutions pour ça.;;;;;;;;;;;;;
"Installation en général pas entretenu""";6;;;;;;;;;;;;
10 de novembro de 2024;Grandioses Hotel mit zuvorkommendem Personal und phänomenalem Frühstück;Das Hotel hat eine super Lage direkt am Strand und ist mit einem Uber nur 8-12 Minuten vom Flughafen entfernt. Der Pool ist sehr schön, und liegt nachmittags im Halbschatten, was in Recife viel ausmacht.;;;;;;;;;;;
Die Zimmer sind ziemlich groß und komfortable.;;;;;;;;;;;;;
Das Highlight für uns war jedoch das phänomenale brasilianische Frühstück. Es gibt eine Riesenauswahl die auch noch täglich rotiert. Wir waren mit Familienmitgliedern dort; die noch nie zuvor in Brasilien gewesen sind und alleine über das Frühstücksbuffet vom brasilianischen Obst; Säften; Kuchen und Tapioca einiges kennen lernen konnte.;;;;;;;;;;
;;;;;;;;;;;;;
Zuletzt möchte ich das Personal erwähnen. Insgesamt waren alle sehr freundlich und hilfsbereit zu uns aber ein paar möchte ich hier ich besonders erwähnen. Suane; an der Rezeption; hat uns immer liebevoll begrüßt und verabschiedet und sogar mit kleinen Geschenken verwöhnt. Dagma; die am Frühstücksbuffet; nach der Zimmernummer fragt; war sehr aufmerksam. Sie hat uns nach kürzester Zeit wieder erkannt und konnte sogar andere Hotelgäste die mit uns gereist sind; uns zuordnen. Es war immer eine Freude sich mit ihr zu unterhalten. Außerdem Vanusa; die tägliche Rührei und Tapioca frisch zubereitet. Trotz der großen Anzahl an Bestellungen; die permanent auf sie einprasseln;" hat sie immer einen kühlen Kopf behalten und war stets freundlich.""";Man merkt dem Hotel leider hier und da an, dass es doch etwas in die Jahre gekommen ist. Z.B. waren die Schiebetüren an den Duschen nicht im besten Zustand und das Fitnessstudio ist leider unbrauchbar.;;;
;;;;;;;;;;;;;
Anders als der Rest des Personals; war das Personal an der Poollounge ziemlich verpeilt. Bestellungen wurden vergessen; manchmal war einfach niemand dort (besonders ärgerlich wenn man gerade zahlen möchte) und auch die Rechnungen waren manchmal chaotisch. Einmal haben sie uns nur die Hälfte unserer Bestellungen berechnet und obwohl wir sie darauf hingewiesen haben;" waren sie nicht in der Lage eine neue Rechnung zu erstellen. Wir haben nie zu viel bezahlt aber es war uns schon unangenehm.""";10;;;;;;;;;
30 de julho de 2024;Satisfatório;Sans doutes le petit déjeuner varié et le personnel très serviable.;l'état de la chambre, ça sentait le moisi. C'est vraiment dommage.;6;;;;;;;;;
20 de abril de 2024;Péssimo;La ubicacion, el desayuno completo tienes de todo para comer.;El precio-calidad. Esta sobrevalorado, me he hospedado alli muchas veces, pero esta ultima fue la peor, las instalaciones cambiaron, el precio esta muy alto y el personal en recepcion es pesimo. No volvere a hospedarme en ese lugar.;1;;;;;;;;;
4 de abril de 2024;Estuvo todo bien menos las habitaciones, había que poner toallas en el piso para evitar resbalar!;Esta a 30 Mateos de la playa y el personal es muy servicial!;Está en pésimas condiciones edilicias, literalmente, drenaba agua del techo. Me cambiaron de habitación y era igual! Hay olor a humedad en todo el hotel. Evidentemente tiene. Un problema importante.;4;;;;;;;;;
20 de março de 2024;Excepcional;Desayuno;;10;;;;;;;;;
18 de março de 2024;Mucha humedad;La ubicación. El personal. Él desayuno;Falta mantenimiento.;5;;;;;;;;;
8 de fevereiro de 2024;State lontani da questa struttura;La colazione e la posizione;Lavori in corso dentro alla struttura con gli ospiti che alloggiano;;;;;;;;;;
"Stanza molto rumorosa e saponi creme di cortesia inesistenti""";1;;;;;;;;;;;;
31 de janeiro de 2024;Excepcional;Habitación asignada nuevo,cómodo piso 16 con vista al mar.Personal muy amables todos,buena relación calidad-precio.Tercera vez que vuelvo,desayuno muy completo.;Nada que reclamar;10;;;;;;;;;
24 de janeiro de 2024;Leider war ich nur eine Nacht in diesem Hotel!;Alles! Entlich mal ein Hotel nach dem schweizer Gusto.;Dass man für das Parking bezahlen muss. Das Auto steht neben der Hauptstrasse ohne Überdachung.;10;;;;;;;;;
20 de janeiro de 2024;Positiv: Frühstück;Sehr gutes und reichhaltiges Frühstück.;;;;;;;;;;;
Direkte Lage am Meer.;;;;;;;;;;;;;
Große Zimmer.;;;;;;;;;;;;;
Sehr freundliches und hilfsbereites Personal;" vor allem Jose 👍""";Wir kamen um 23.30 an. Sehr müde vom Flug. Unser Zimmer war alt und total abgewohnt. Das Bad war nicht sehr sauber. Aus dem Duschkopf kam zuerst ganz braunes Wasser.;;;;;;;;;;;
Es gab angeblich kein Meerblick Zimmer; obwohl wir extra angefragt hatten. ;;;;;;;;;;;;
Da wir nur 2 Tage dort waren und uns die Zeit zu schade war; haben wir uns zunächst nicht beschwert. Mein Eindruck war; das man bei Buchung über Booking.com hier das schlechtere Zimmer bekam. Wir hatten uns vor unserer Abreise beschwert; dann hat man uns die neu renovierten Zimmer mal gezeigt ;" die waren top !""";6;;;;;;;;
15 de janeiro de 2024;bien mais on peut faire mieux;emplacement;pas top le petit-déjeuner;;;;;;;;;;
"check-in trop lent""";6;;;;;;;;;;;;
8 de janeiro de 2024;Die Luxus Wohnungen sind sehr gut, aber die normale doppeltzimmer nicht;Nach vielen Probleme, die haben eine Upgrade angeboten und die Zimmer ab der 17 Stock waren sehr gut!;Wir haben viele Probleme gehabt, z.b. die Lüfter des Badezimmers hat nicht funktioniert und die ganze Wohnung war immer Mega feucht. Die Türe der Garderobe und die Türe des Duches waren kaputt. Am schlimmsten war die Klimaanlage, die zu schwach war. Nachdem wir reklamiert haben, haben die jemand geschickt, um zu verifizieren, und nachher haben wir eine Upgrade zu eine andere Zimmer bekommen.;6;;;;;;;;;
3 de janeiro de 2024;Je vous retourne à c'est hotel.;Beaucoup???;???;10;;;;;;;;;
29 de dezembro de 2023;Excepcional;DESAYUNO;;10;;;;;;;;;
17 de dezembro de 2023;Bof;Rien;Salle de bain, pas de ventilation, l'eau du lavabo ne s'écoule pas, ainsi que la douche (baignoire);;;;;;;;;;
l'eau stagne....;;;;;;;;;;;;;
"Petit déjeuner infecte à mon goût""";1;;;;;;;;;;;;
16 de dezembro de 2023;Ne mérite pas le groupe accor;L’emplacement;Le manque d’entretien, les chariots qui débarrassent les tables au petit déjeuner (on pense être à la cantine) le personnel au petit déjeuner qui repousse les chaises d’un coup de pied, la salle de bains avec de joints de douche noirâtres, le chien qui aboie à la réception (il a sa gamelle derrière le comptoir) le coffre fort de le chambre qui n’est pas vissé simplement posé, certainement un problème de direction en fait;3;;;;;;;;;
