data_avaliacao;titulo;comentario_positivo;comentario_negativo;nota;;;;;;;
21 de maio de 2023;Muito bom;Hôtel bien situé à côté de la plage et des restaurants.;;8;;;;;;;
20 de abril de 2023;hotel agradable;la ubicacion muy buena, el desayuno bastante flojo;el desayuno;8;;;;;;;
8 de abril de 2023;Bastante bien;Las camas estaban bastante bien y estaba bastante limpio.;La luz de la habitación dejó de funcionar.;;;;;;;;
"No había enchufes cerca de las camas.""";8;;;;;;;;;;
1º de março de 2023;Muy bien;Desayuno excelente, buena ubicación, buen trato del personal;;8;;;;;;;
11 de fevereiro de 2023;Muito bom;Buena ubicación;Las camas;8;;;;;;;
7 de fevereiro de 2023;Muito bom;Buena Atencio , y buena limpieza.;;8;;;;;;;
16 de janeiro de 2023;Muito bom;Muy buena la ubicación y el desayuno excelente !;Las habitaciones un poco más pequeña de lo esperado pero cómoda;8;;;;;;;
5 de fevereiro de 2025;no volveria a este hotel;ubicación;hotel para pasar la noche, no tiene nada para hacer, el personal es poco amigable, no te dan agua para el mate caliente, vos compras el agua y ellos te calientan de esa agua, no tiene nada , poca hospitalidad del personal , sabanas viejas , el piso estaba sucio, bastante caro para lo q ofrecen.;5;;;;;;;
30 de janeiro de 2025;No volveria;No me gustó nada.;No era cómodo, no coincidían las fotos con la realidad, la cama era incómoda, no tenía sabanas de dos plazas para taparnos ni cubrecama, el café era muy malo, intomable. Por suerte solo nos quedamos un noche.;1;;;;;;;
27 de janeiro de 2025;Solamente para un rato. Sin tener pretensiones;Estuvimos poco tiempo. No pude comprobar el desayuno ni otro servicio. Lo único bueno es que era barato;Las camas son de cemento con un colchón arriba. Eso lo dice todo;3;;;;;;;
13 de agosto de 2024;Tout s’est très bien passé. Hotel confortable et a côté de la plage.;L’emplacement. Confort, qualité prix. Bon petit dej.;Ils avaient juste oublié de mettre un drap et serviette pour ma fille.;10;;;;;;;
14 de setembro de 2023;Ruim;;Onvriendelijk personeel;3;;;;;;;
13 de fevereiro de 2023;Excepcional;La limpieza;;10;;;;;;;
7 de fevereiro de 2023;Aceitável;Buen desayuno, personal amable;Confort en la habitacion, el equipo de aire acondicionado goteaba mucho y el piso de la habitacion se mojó;5;;;;;;;
1º de outubro de 2022;Lo único aceptable el desayuno;Lo único bueno fue el desayuno.;La habitación era más chica que la de una cárcel, con eso digo todo. Por suerte me hospede poco.;4;;;;;;;
28 de abril de 2022;Muy incomoda para un pasajero con discapacidad motora;Internet;Necesite una silla de ruedas , me dijeron que tenian , pero al llegar la silla estaba rota.;;;;;;;;
"Los colchones muy duros.""";4;;;;;;;;;;
30 de março de 2025;Muito bom;;;8;;;;;;;
28 de março de 2025;Muito bom;;;8;;;;;;;
26 de março de 2025;Bom;;;7;;;;;;;
25 de março de 2025;Muito bom;;;8;;;;;;;
22 de março de 2025;Muito bom;;;8;;;;;;;
21 de março de 2025;Bom;;;7;;;;;;;
20 de março de 2025;Muito bom;;;8;;;;;;;
20 de março de 2025;Fantástico;;;9;;;;;;;
16 de março de 2025;Bom;;;7;;;;;;;
14 de março de 2025;Bom;;;7;;;;;;;
13 de março de 2025;Muito bom;;;8;;;;;;;
9 de março de 2025;Muito bom;;;8;;;;;;;
9 de março de 2025;Fantástico;;;9;;;;;;;
6 de março de 2025;Muito bom;;;8;;;;;;;
28 de fevereiro de 2025;Bom;;;7;;;;;;;
27 de fevereiro de 2025;Fantástico;;;9;;;;;;;
26 de fevereiro de 2025;Muito bom;;;8;;;;;;;
25 de fevereiro de 2025;Bom;;;7;;;;;;;
25 de fevereiro de 2025;Bom;;;7;;;;;;;
25 de fevereiro de 2025;Fantástico;;;9;;;;;;;
24 de fevereiro de 2025;Fantástico;;;9;;;;;;;
24 de fevereiro de 2025;Muito bom;;;8;;;;;;;
24 de fevereiro de 2025;Bom;;;7;;;;;;;
23 de fevereiro de 2025;Muito bom;;;8;;;;;;;
22 de fevereiro de 2025;Muito bom;;;8;;;;;;;
21 de fevereiro de 2025;Bom;;;7;;;;;;;
21 de fevereiro de 2025;Muito bom;;;8;;;;;;;
20 de fevereiro de 2025;Muito bom;;;8;;;;;;;
18 de fevereiro de 2025;Bom;;;7;;;;;;;
18 de fevereiro de 2025;Muito bom;;;8;;;;;;;
18 de fevereiro de 2025;Muito bom;;;8;;;;;;;
17 de fevereiro de 2025;Muito bom;;;8;;;;;;;
17 de fevereiro de 2025;Muito bom;;;8;;;;;;;
16 de fevereiro de 2025;Bom;;;7;;;;;;;
14 de fevereiro de 2025;Bom;;;7;;;;;;;
13 de fevereiro de 2025;Muito bom;;;8;;;;;;;
12 de fevereiro de 2025;Muito bom;;;8;;;;;;;
12 de fevereiro de 2025;Fantástico;;;9;;;;;;;
11 de fevereiro de 2025;Muito bom;;;8;;;;;;;
10 de fevereiro de 2025;Muito bom;;;8;;;;;;;
10 de fevereiro de 2025;Fantástico;;;9;;;;;;;
7 de fevereiro de 2025;Muito bom;;;8;;;;;;;
4 de fevereiro de 2025;Bom;;;7;;;;;;;
3 de fevereiro de 2025;Bom;;;7;;;;;;;
3 de fevereiro de 2025;Bom;;;7;;;;;;;
2 de fevereiro de 2025;Fantástico;;;9;;;;;;;
2 de fevereiro de 2025;Bom;;;7;;;;;;;
29 de janeiro de 2025;Bom;;;7;;;;;;;
28 de janeiro de 2025;Bom;;;7;;;;;;;
27 de janeiro de 2025;Fantástico;;;9;;;;;;;
27 de janeiro de 2025;Fantástico;;;9;;;;;;;
27 de janeiro de 2025;Fantástico;;;9;;;;;;;
26 de janeiro de 2025;Fantástico;;;9;;;;;;;
23 de janeiro de 2025;Bom;;;7;;;;;;;
21 de janeiro de 2025;Fantástico;;;9;;;;;;;
21 de janeiro de 2025;Muito bom;;;8;;;;;;;
21 de janeiro de 2025;Fantástico;;;9;;;;;;;
20 de janeiro de 2025;Bom;;;7;;;;;;;
20 de janeiro de 2025;Muito bom;;;8;;;;;;;
18 de janeiro de 2025;Muito bom;;;8;;;;;;;
17 de janeiro de 2025;Muito bom;;;8;;;;;;;
16 de janeiro de 2025;Bom;;;7;;;;;;;
16 de janeiro de 2025;Bom;;;7;;;;;;;
15 de janeiro de 2025;Fantástico;;;9;;;;;;;
13 de janeiro de 2025;Muito bom;;;8;;;;;;;
11 de janeiro de 2025;Muito bom;;;8;;;;;;;
8 de janeiro de 2025;Muito bom;;;8;;;;;;;
7 de janeiro de 2025;Fantástico;;;9;;;;;;;
7 de janeiro de 2025;Bom;;;7;;;;;;;
6 de janeiro de 2025;Bom;;;7;;;;;;;
6 de janeiro de 2025;Muito bom;;;8;;;;;;;
5 de janeiro de 2025;Bom;;;7;;;;;;;
4 de janeiro de 2025;Muito bom;;;8;;;;;;;
3 de janeiro de 2025;Muito bom;;;8;;;;;;;
2 de janeiro de 2025;Muito bom;;;8;;;;;;;
2 de janeiro de 2025;Muito bom;;;8;;;;;;;
2 de janeiro de 2025;Muito bom;;;8;;;;;;;
28 de dezembro de 2024;Muito bom;;;8;;;;;;;
27 de dezembro de 2024;Fantástico;;;9;;;;;;;
26 de dezembro de 2024;Muito bom;;;8;;;;;;;
26 de dezembro de 2024;Muito bom;;;8;;;;;;;
24 de dezembro de 2024;Fantástico;;;9;;;;;;;
23 de dezembro de 2024;Muito bom;;;8;;;;;;;
17 de dezembro de 2024;Bom;;;7;;;;;;;
16 de dezembro de 2024;Fantástico;;;9;;;;;;;
14 de dezembro de 2024;Muito bom;;;8;;;;;;;
12 de dezembro de 2024;Bom;;;7;;;;;;;
12 de dezembro de 2024;Bom;;;7;;;;;;;
11 de dezembro de 2024;Muito bom;;;8;;;;;;;
3 de dezembro de 2024;Muito bom;;;8;;;;;;;
1º de dezembro de 2024;Muito bom;;;8;;;;;;;
1º de dezembro de 2024;Bom;;;7;;;;;;;
30 de novembro de 2024;Muito bom;;;8;;;;;;;
29 de novembro de 2024;Ótimo custo-beneficio.;;;8;;;;;;;
29 de novembro de 2024;Fantástico;;;9;;;;;;;
26 de novembro de 2024;Bom;;;7;;;;;;;
24 de novembro de 2024;Fantástico;;;9;;;;;;;
22 de novembro de 2024;Muito bom;;;8;;;;;;;
21 de novembro de 2024;Bom;;;7;;;;;;;
18 de novembro de 2024;Fantástico;;;9;;;;;;;
18 de novembro de 2024;Bom;;;7;;;;;;;
16 de novembro de 2024;Muito bom;;;8;;;;;;;
13 de novembro de 2024;Muito bom;;;8;;;;;;;
12 de novembro de 2024;Muito bom;;;8;;;;;;;
8 de novembro de 2024;Muito bom;;;8;;;;;;;
7 de novembro de 2024;Bom;;;7;;;;;;;
7 de novembro de 2024;Muito bom;;;8;;;;;;;
4 de novembro de 2024;Bom;;;7;;;;;;;
4 de novembro de 2024;Muito bom;;;8;;;;;;;
2 de novembro de 2024;Muito bom;;;8;;;;;;;
2 de novembro de 2024;Fantástico;;;9;;;;;;;
28 de outubro de 2024;Bom;;;7;;;;;;;
4 de outubro de 2024;Fantástico;;;9;;;;;;;
1º de outubro de 2024;Muito bom;;;8;;;;;;;
1º de outubro de 2024;Fantástico;;;9;;;;;;;
1º de outubro de 2024;Muito bom;;;8;;;;;;;
23 de setembro de 2024;Muito bom;;;8;;;;;;;
22 de setembro de 2024;Bom;;;7;;;;;;;
21 de setembro de 2024;Bom;;;7;;;;;;;
20 de setembro de 2024;Fantástico;;;9;;;;;;;
19 de setembro de 2024;Fantástico;;;9;;;;;;;
9 de setembro de 2024;Bom;;;7;;;;;;;
8 de setembro de 2024;Muito bom;;;8;;;;;;;
7 de setembro de 2024;Muito bom;;;8;;;;;;;
6 de setembro de 2024;Bom;;;7;;;;;;;
29 de agosto de 2024;Fantástico;;;9;;;;;;;
26 de agosto de 2024;Muito bom;;;8;;;;;;;
19 de agosto de 2024;Bom;;;7;;;;;;;
12 de agosto de 2024;Bom;;;7;;;;;;;
6 de agosto de 2024;Muito bom;;;8;;;;;;;
22 de julho de 2024;Fantástico;;;9;;;;;;;
17 de julho de 2024;Fantástico;;;9;;;;;;;
15 de julho de 2024;Fantástico;;;9;;;;;;;
9 de julho de 2024;Excelente!!!;;;8;;;;;;;
8 de julho de 2024;Bom;;;7;;;;;;;
8 de julho de 2024;Muito bom;;;8;;;;;;;
5 de julho de 2024;Muito bom;;;8;;;;;;;
1º de julho de 2024;Fantástico;;;9;;;;;;;
30 de junho de 2024;Fantástico;;;9;;;;;;;
29 de junho de 2024;Muito bom;;;8;;;;;;;
23 de junho de 2024;Bom;;;7;;;;;;;
16 de junho de 2024;Fantástico;;;9;;;;;;;
14 de junho de 2024;Muito bom;;;8;;;;;;;
10 de junho de 2024;Fantástico;;;9;;;;;;;
3 de junho de 2024;Boa;;;7;;;;;;;
1º de junho de 2024;Fantástico;;;9;;;;;;;
27 de maio de 2024;Muito bom;;;8;;;;;;;
27 de maio de 2024;Muito bom;;;8;;;;;;;
24 de maio de 2024;Fantástico;;;9;;;;;;;
5 de maio de 2024;Fantástico;;;9;;;;;;;
29 de abril de 2024;Bom;;;7;;;;;;;
28 de abril de 2024;Fantástico;;;9;;;;;;;
15 de abril de 2024;Muito bom;;;8;;;;;;;
13 de abril de 2024;Muito bom;;;8;;;;;;;
8 de abril de 2024;Muito bom;;;8;;;;;;;
7 de abril de 2024;Bom;;;7;;;;;;;
6 de abril de 2024;Bom;;;7;;;;;;;
1º de abril de 2024;Muito bom;;;8;;;;;;;
31 de março de 2024;Bom;;;7;;;;;;;
29 de março de 2024;Muito bom;;;8;;;;;;;
25 de março de 2024;Fantástico;;;9;;;;;;;
24 de março de 2024;Muito bom;;;8;;;;;;;
24 de março de 2024;Muito bom;;;8;;;;;;;
22 de março de 2024;Bom;;;7;;;;;;;
17 de março de 2024;Bom;;;7;;;;;;;
16 de março de 2024;Fantástico;;;9;;;;;;;
11 de março de 2024;Muito bom;;;8;;;;;;;
10 de março de 2024;Muito bom;;;8;;;;;;;
8 de março de 2024;Fantástico;;;9;;;;;;;
7 de março de 2024;Fantástico;;;9;;;;;;;
7 de março de 2024;Bom;;;7;;;;;;;
6 de março de 2024;Muito bom;;;8;;;;;;;
4 de março de 2024;Fantástico;;;9;;;;;;;
2 de março de 2024;Muito bom;;;8;;;;;;;
27 de fevereiro de 2024;Fantástico;;;9;;;;;;;
24 de fevereiro de 2024;Muito bom;;;8;;;;;;;
7 de fevereiro de 2024;Muito bom;;;8;;;;;;;
7 de fevereiro de 2024;Muito bom;;;8;;;;;;;
6 de fevereiro de 2024;Muito bom;;;8;;;;;;;
6 de fevereiro de 2024;Bom;;;7;;;;;;;
4 de fevereiro de 2024;Bom;;;7;;;;;;;
31 de janeiro de 2024;Muito bom;;;8;;;;;;;
30 de janeiro de 2024;Bom;;;7;;;;;;;
28 de janeiro de 2024;Bom;;;7;;;;;;;
27 de janeiro de 2024;Muito bom;;;8;;;;;;;
27 de janeiro de 2024;Bom;;;7;;;;;;;
26 de janeiro de 2024;Muito bom;;;8;;;;;;;
25 de janeiro de 2024;Muito bom;;;8;;;;;;;
22 de janeiro de 2024;Bom custo benefício;;;8;;;;;;;
22 de janeiro de 2024;Muito bom;;;8;;;;;;;
21 de janeiro de 2024;Muito bom;;;8;;;;;;;
21 de janeiro de 2024;Tudo muito bom.;;;8;;;;;;;
20 de janeiro de 2024;Fantástico;;;9;;;;;;;
16 de janeiro de 2024;Muito bom;;;8;;;;;;;
15 de janeiro de 2024;Fantástico;;;9;;;;;;;
13 de janeiro de 2024;Muito bom;;;8;;;;;;;
12 de janeiro de 2024;Fantástico;;;9;;;;;;;
10 de janeiro de 2024;Fantástico;;;9;;;;;;;
8 de janeiro de 2024;Muito bom;;;8;;;;;;;
7 de janeiro de 2024;Fantástico;;;9;;;;;;;
6 de janeiro de 2024;Fantástico;;;9;;;;;;;
6 de janeiro de 2024;Muito bom;;;8;;;;;;;
6 de janeiro de 2024;Fantástico;;;9;;;;;;;
3 de janeiro de 2024;Muito bom;;;8;;;;;;;
30 de dezembro de 2023;Bom;;;7;;;;;;;
29 de dezembro de 2023;Fantástico;;;9;;;;;;;
26 de dezembro de 2023;Muito bom;;;8;;;;;;;
26 de dezembro de 2023;Fantástico;;;9;;;;;;;
25 de dezembro de 2023;Muito bom;;;8;;;;;;;
25 de dezembro de 2023;Bom;;;7;;;;;;;
21 de dezembro de 2023;Bom;;;7;;;;;;;
21 de dezembro de 2023;Bom;;;7;;;;;;;
20 de dezembro de 2023;Bom;;;7;;;;;;;
19 de dezembro de 2023;Muito bom;;;8;;;;;;;
19 de dezembro de 2023;Muito bom;;;8;;;;;;;
18 de dezembro de 2023;Muito bom;;;8;;;;;;;
17 de dezembro de 2023;Muito bom;;;8;;;;;;;
16 de dezembro de 2023;Muito bom;;;8;;;;;;;
13 de dezembro de 2023;Muito bom hotel, boas acomodações.;;;8;;;;;;;
12 de dezembro de 2023;Muito bom;;;8;;;;;;;
12 de dezembro de 2023;Muito bom;;;8;;;;;;;
11 de dezembro de 2023;Bom;;;7;;;;;;;
11 de dezembro de 2023;Fantástico;;;9;;;;;;;
7 de dezembro de 2023;Muito bom;;;8;;;;;;;
5 de dezembro de 2023;Muito bom;;;8;;;;;;;
4 de dezembro de 2023;Muito bom;;;8;;;;;;;
2 de dezembro de 2023;Fantástico;;;9;;;;;;;
2 de dezembro de 2023;Fantástico;;;9;;;;;;;
29 de novembro de 2023;Muito bom;;;8;;;;;;;
29 de novembro de 2023;Muito bom;;;8;;;;;;;
29 de novembro de 2023;Fantástico;;;9;;;;;;;
28 de novembro de 2023;Bom;;;7;;;;;;;
28 de novembro de 2023;Bom;;;7;;;;;;;
21 de novembro de 2023;Muito bom;;;8;;;;;;;
21 de novembro de 2023;Muito bom;;;8;;;;;;;
21 de novembro de 2023;Muito bom;;;8;;;;;;;
18 de novembro de 2023;Muito bom;;;8;;;;;;;
16 de novembro de 2023;Fantástico;;;9;;;;;;;
16 de novembro de 2023;Bom;;;7;;;;;;;
15 de novembro de 2023;Muito bom;;;8;;;;;;;
15 de novembro de 2023;Boa acomodação e localização. Única crítica é não possuir tomadas próximo das camas.;;;8;;;;;;;
15 de novembro de 2023;Muito bom;;;8;;;;;;;
14 de novembro de 2023;Fantástico;;;9;;;;;;;
13 de novembro de 2023;Muito bom;;;8;;;;;;;
11 de novembro de 2023;Bom;;;7;;;;;;;
10 de novembro de 2023;Muito bom;;;8;;;;;;;
9 de novembro de 2023;Muito bom;;;8;;;;;;;
9 de novembro de 2023;Muito bom;;;8;;;;;;;
9 de novembro de 2023;Muito bom;;;8;;;;;;;
9 de novembro de 2023;Bom;;;7;;;;;;;
5 de novembro de 2023;Fantástico;;;9;;;;;;;
4 de novembro de 2023;Fantástico;;;9;;;;;;;
1º de novembro de 2023;Muito bom;;;8;;;;;;;
30 de outubro de 2023;Muito bom;;;8;;;;;;;
29 de outubro de 2023;Muito bom;;;8;;;;;;;
29 de outubro de 2023;Muito bom;;;8;;;;;;;
28 de outubro de 2023;Bom;;;7;;;;;;;
27 de outubro de 2023;Muito bom;;;8;;;;;;;
25 de outubro de 2023;Muito bom;;;8;;;;;;;
25 de outubro de 2023;Muito bom;;;8;;;;;;;
23 de outubro de 2023;Fantástico;;;9;;;;;;;
22 de outubro de 2023;Bom;;;7;;;;;;;
19 de outubro de 2023;Muito bom;;;8;;;;;;;
16 de outubro de 2023;Fantástico;;;9;;;;;;;
15 de outubro de 2023;Bom;;;7;;;;;;;
11 de outubro de 2023;Fantástico;;;9;;;;;;;
8 de outubro de 2023;Muito bom;;;8;;;;;;;
8 de outubro de 2023;Muito bom;;;8;;;;;;;
8 de outubro de 2023;Muito bom;;;8;;;;;;;
7 de outubro de 2023;Fantástico;;;9;;;;;;;
6 de outubro de 2023;Fantástico;;;9;;;;;;;
6 de outubro de 2023;Muito bom;;;8;;;;;;;
4 de outubro de 2023;Bom;;;7;;;;;;;
3 de outubro de 2023;Fantástico;;;9;;;;;;;
28 de setembro de 2023;Muito bom;;;8;;;;;;;
27 de setembro de 2023;Muito bom;;;8;;;;;;;
27 de setembro de 2023;Bom;;;7;;;;;;;
26 de setembro de 2023;Bom;;;7;;;;;;;
26 de setembro de 2023;Fantástico;;;9;;;;;;;
24 de setembro de 2023;Bom;;;7;;;;;;;
23 de setembro de 2023;Muito bom;;;8;;;;;;;
23 de setembro de 2023;Fantástico;;;9;;;;;;;
22 de setembro de 2023;Bom;;;7;;;;;;;
20 de setembro de 2023;Muito bom;;;8;;;;;;;
18 de setembro de 2023;Muito bom;;;8;;;;;;;
17 de setembro de 2023;Fantástico;;;9;;;;;;;
17 de setembro de 2023;Bom;;;7;;;;;;;
17 de setembro de 2023;Fantástico;;;9;;;;;;;
15 de setembro de 2023;Muito bom;;;8;;;;;;;
14 de setembro de 2023;Muito bom;;;8;;;;;;;
13 de setembro de 2023;Muito bom;;;8;;;;;;;
12 de setembro de 2023;Muito bom;;;8;;;;;;;
11 de setembro de 2023;Muito bom;;;8;;;;;;;
10 de setembro de 2023;Bom;;;7;;;;;;;
10 de setembro de 2023;Muito bom;;;8;;;;;;;
3 de setembro de 2023;Fantástico;;;9;;;;;;;
1º de setembro de 2023;Muito bom;;;8;;;;;;;
30 de agosto de 2023;Muito bom;;;8;;;;;;;
22 de agosto de 2023;Muito bom;;;8;;;;;;;
22 de agosto de 2023;Fantástico;;;9;;;;;;;
19 de agosto de 2023;Bom;;;7;;;;;;;
15 de agosto de 2023;Bom;;;7;;;;;;;
15 de agosto de 2023;Bom;;;7;;;;;;;
14 de agosto de 2023;Fantástico;;;9;;;;;;;
13 de agosto de 2023;Bom;;;7;;;;;;;
12 de agosto de 2023;Fantástico;;;9;;;;;;;
8 de agosto de 2023;Fantástico;;;9;;;;;;;
5 de agosto de 2023;Fantástico;;;9;;;;;;;
22 de julho de 2023;Muito bom;;;8;;;;;;;
20 de julho de 2023;Muito bom;;;8;;;;;;;
20 de julho de 2023;Muito bom;;;8;;;;;;;
6 de julho de 2023;Muito bom;;;8;;;;;;;
5 de julho de 2023;Fantástico;;;9;;;;;;;
2 de julho de 2023;Fantástico;;;9;;;;;;;
24 de junho de 2023;Muito bom;;;8;;;;;;;
24 de junho de 2023;Muito bom;;;8;;;;;;;
21 de junho de 2023;Fantástico;;;9;;;;;;;
17 de junho de 2023;Muito bom;;;8;;;;;;;
14 de junho de 2023;Muito bom;;;8;;;;;;;
7 de junho de 2023;Fantástico;;;9;;;;;;;
2 de junho de 2023;Muito bom;;;8;;;;;;;
23 de maio de 2023;Muito bom;;;8;;;;;;;
22 de maio de 2023;Muito bom;;;8;;;;;;;
22 de maio de 2023;Bom;;;7;;;;;;;
15 de maio de 2023;Fantástico;;;9;;;;;;;
15 de maio de 2023;Muito bom;;;8;;;;;;;
13 de maio de 2023;Bom;;;7;;;;;;;
12 de maio de 2023;Muito bom;;;8;;;;;;;
12 de maio de 2023;Bom;;;7;;;;;;;
5 de maio de 2023;Muito bom;;;8;;;;;;;
3 de maio de 2023;Muito bom;;;8;;;;;;;
3 de maio de 2023;Muito bom;;;8;;;;;;;
3 de maio de 2023;Muito bom;;;8;;;;;;;
2 de maio de 2023;Muito bom;;;8;;;;;;;
2 de maio de 2023;Satisfatória;;;8;;;;;;;
1º de maio de 2023;Muito bom;;;8;;;;;;;
27 de abril de 2023;Fantástico;;;9;;;;;;;
19 de abril de 2023;Bom;;;7;;;;;;;
18 de abril de 2023;Muito bom;;;8;;;;;;;
17 de abril de 2023;Muito bom;;;8;;;;;;;
17 de abril de 2023;Muito bom;;;8;;;;;;;
16 de abril de 2023;Muito bom;;;8;;;;;;;
16 de abril de 2023;Muito bom;;;8;;;;;;;
14 de abril de 2023;Bom;;;7;;;;;;;
13 de abril de 2023;Muito bom;;;8;;;;;;;
11 de abril de 2023;Bom;;;7;;;;;;;
10 de abril de 2023;Muito bom;;;8;;;;;;;
9 de abril de 2023;Fantástico;;;9;;;;;;;
8 de abril de 2023;Muito bom;;;8;;;;;;;
7 de abril de 2023;Muito bom;;;8;;;;;;;
4 de abril de 2023;Fantástico;;;9;;;;;;;
3 de abril de 2023;Muito bom;;;8;;;;;;;
3 de abril de 2023;Muito bom;;;8;;;;;;;
2 de abril de 2023;Muito bom;;;8;;;;;;;
2 de abril de 2023;Bom;;;7;;;;;;;
31 de março de 2023;Bom;;;7;;;;;;;
29 de março de 2023;Muito bom;;;8;;;;;;;
28 de março de 2023;Fantástico;;;9;;;;;;;
28 de março de 2023;Bom;;;7;;;;;;;
27 de março de 2023;Muito bom;;;8;;;;;;;
27 de março de 2023;Muito bom;;;8;;;;;;;
26 de março de 2023;Muito bom;;;8;;;;;;;
24 de março de 2023;Fantástico;;;9;;;;;;;
22 de março de 2023;Muito bom;;;8;;;;;;;
20 de março de 2023;Muito bom;;;8;;;;;;;
19 de março de 2023;Muito bom;;;8;;;;;;;
16 de março de 2023;Bom;;;7;;;;;;;
15 de março de 2023;Muito bom;;;8;;;;;;;
14 de março de 2023;Fantástico;;;9;;;;;;;
13 de março de 2023;Bom;;;7;;;;;;;
11 de março de 2023;Muito bom;;;8;;;;;;;
10 de março de 2023;Muito bom;;;8;;;;;;;
7 de março de 2023;Satisfatória;;;8;;;;;;;
5 de março de 2023;Muito bom;;;8;;;;;;;
5 de março de 2023;Fantástico;;;9;;;;;;;
23 de fevereiro de 2023;Muito bom;;;8;;;;;;;
22 de fevereiro de 2023;Bom;;;7;;;;;;;
17 de fevereiro de 2023;Fantástico;;;9;;;;;;;
17 de fevereiro de 2023;Fantástico;;;9;;;;;;;
16 de fevereiro de 2023;Fantástico;;;9;;;;;;;
13 de fevereiro de 2023;Muito bom;;;8;;;;;;;
13 de fevereiro de 2023;Fantástico;;;9;;;;;;;
13 de fevereiro de 2023;Muito bom;;;8;;;;;;;
13 de fevereiro de 2023;Muito bom;;;8;;;;;;;
12 de fevereiro de 2023;Bom;;;7;;;;;;;
12 de fevereiro de 2023;Muito bom;;;8;;;;;;;
10 de fevereiro de 2023;Bom;;;7;;;;;;;
10 de fevereiro de 2023;Muito bom;;;8;;;;;;;
10 de fevereiro de 2023;Muito bom;;;8;;;;;;;
10 de fevereiro de 2023;Bom;;;7;;;;;;;
9 de fevereiro de 2023;Muito bom;;;8;;;;;;;
4 de fevereiro de 2023;Muito bom;;;8;;;;;;;
4 de fevereiro de 2023;Fantástico;;;9;;;;;;;
4 de fevereiro de 2023;Muito bom;;;8;;;;;;;
4 de fevereiro de 2023;Muito bom;;;8;;;;;;;
3 de fevereiro de 2023;Bom;;;7;;;;;;;
3 de fevereiro de 2023;Bom;;;7;;;;;;;
2 de fevereiro de 2023;Muito bom;;;8;;;;;;;
1º de fevereiro de 2023;Fantástico;;;9;;;;;;;
31 de janeiro de 2023;Muito bom;;;8;;;;;;;
30 de janeiro de 2023;Muito bom;;;8;;;;;;;
30 de janeiro de 2023;Fantástico;;;9;;;;;;;
29 de janeiro de 2023;Fantástico;;;9;;;;;;;
28 de janeiro de 2023;Muito bom;;;8;;;;;;;
28 de janeiro de 2023;Muito bom;;;8;;;;;;;
27 de janeiro de 2023;Bom;;;7;;;;;;;
25 de janeiro de 2023;Muito bom;;;8;;;;;;;
25 de janeiro de 2023;Bom;;;7;;;;;;;
24 de janeiro de 2023;Fantástico;;;9;;;;;;;
24 de janeiro de 2023;Muito bom;;;8;;;;;;;
23 de janeiro de 2023;Muito bom;;;8;;;;;;;
23 de janeiro de 2023;Muito bom;;;8;;;;;;;
23 de janeiro de 2023;Muito bom;;;8;;;;;;;
23 de janeiro de 2023;Fantástico;;;9;;;;;;;
22 de janeiro de 2023;Fantástico;;;9;;;;;;;
21 de janeiro de 2023;Muito bom;;;8;;;;;;;
19 de janeiro de 2023;Fantástico;;;9;;;;;;;
19 de janeiro de 2023;Muito bom;;;8;;;;;;;
19 de janeiro de 2023;Fantástico;;;9;;;;;;;
18 de janeiro de 2023;Bom;;;7;;;;;;;
18 de janeiro de 2023;Muito bom;;;8;;;;;;;
17 de janeiro de 2023;Bom;;;7;;;;;;;
17 de janeiro de 2023;Muito bom;;;8;;;;;;;
17 de janeiro de 2023;Bom;;;7;;;;;;;
17 de janeiro de 2023;Fantástico;;;9;;;;;;;
16 de janeiro de 2023;Bom;;;7;;;;;;;
16 de janeiro de 2023;Fantástico;;;9;;;;;;;
16 de janeiro de 2023;Fantástico;;;9;;;;;;;
15 de janeiro de 2023;Muito bom;;;8;;;;;;;
15 de janeiro de 2023;Muito bom;;;8;;;;;;;
14 de janeiro de 2023;Bom;;;7;;;;;;;
14 de janeiro de 2023;Muito bom;;;8;;;;;;;
13 de janeiro de 2023;Muito bom;;;8;;;;;;;
12 de janeiro de 2023;Fantástico;;;9;;;;;;;
12 de janeiro de 2023;Bom;;;7;;;;;;;
12 de janeiro de 2023;Bom;;;7;;;;;;;
10 de janeiro de 2023;Fantástico;;;9;;;;;;;
10 de janeiro de 2023;Muito bom;;;8;;;;;;;
10 de janeiro de 2023;Muito bom;;;8;;;;;;;
10 de janeiro de 2023;Bom;;;7;;;;;;;
9 de janeiro de 2023;Muito bom;;;8;;;;;;;
9 de janeiro de 2023;Fantástico;;;9;;;;;;;
8 de janeiro de 2023;Fantástico;;;9;;;;;;;
8 de janeiro de 2023;Fantástico;;;9;;;;;;;
8 de janeiro de 2023;Muito bom;;;8;;;;;;;
8 de janeiro de 2023;Muito bom;;;8;;;;;;;
6 de janeiro de 2023;Bom;;;7;;;;;;;
6 de janeiro de 2023;Muito bom;;;8;;;;;;;
5 de janeiro de 2023;Muito bom;;;8;;;;;;;
5 de janeiro de 2023;Fantástico;;;9;;;;;;;
4 de janeiro de 2023;Muito bom;;;8;;;;;;;
3 de janeiro de 2023;Bom;;;7;;;;;;;
2 de janeiro de 2023;Fantástico;;;9;;;;;;;
2 de janeiro de 2023;Muito bom;;;8;;;;;;;
2 de janeiro de 2023;Bom;;;7;;;;;;;
