data_avaliacao;titulo;comentario_positivo;comentario_negativo;nota;;;;;;;;;;;;;;;;;;;;;;;
8 de agosto de 2022;aconchegante;os quartos são pequenos , mas são muito aconchegantes . a localização é muito boa , perto da praia de bares e padarias;pelo custo benefício eu gostei de tudo;10;;;;;;;;;;;;;;;;;;;;;;;
6 de agosto de 2022;excelente;vim novamente e ficamos em um quarto mega espaçoso. Tudo muito limpo e organizado, mesmo o hotel estando em obra, não tivemos absolutamente nenhum desconforto com barulhos- o que achei sensacional. Fomos muito bem recepcionados e auxiliados, o café da manhã continua excelente, a localização é excepcional. Recomendei e retornaremos certamente.;;10;;;;;;;;;;;;;;;;;;;;;;;
5 de agosto de 2022;Excelente;Funcionárias muito solicitas e gentis. Nos auxiliaram com o que precisamos com prontidão e gentileza. O Café da manhã é excelente, a localização nem se fala, excelente demais, tudo pertinho também, restaurantes, padarias e farmácias. O quarto é muito aconchegante, tudo muito bem limpo e novinho. Foi excelente demais nossa estadia.;Não havia box no chuveiro, era uma cortina - ela não atrapalhou nada, mas acredito que um vidro seria excelente. Uma Tv a cabo também seria excelente.;10;;;;;;;;;;;;;;;;;;;;;;;
1º de agosto de 2022;excelente.;Localização, café da manhã e atendimento.;;10;;;;;;;;;;;;;;;;;;;;;;;
29 de julho de 2022;Excepcional;Quartos modernos, com SMART TVs e camas confortáveis.;Não tenho o que reclamar.;10;;;;;;;;;;;;;;;;;;;;;;;
27 de julho de 2022;Excepcional;Localização e quartos aconchegantes;Não possui estacionamento e estava em reforma;10;;;;;;;;;;;;;;;;;;;;;;;
14 de julho de 2022;Òtima.;Localização,Atendimento recepção,Quarto limpo.;Café da manhã é bom ,mas pode melhorar.;10;;;;;;;;;;;;;;;;;;;;;;;
11 de julho de 2022;Aceitável;;vidraça do banheiro quebrada, porta do banheiro não fechava e em obra.;5;;;;;;;;;;;;;;;;;;;;;;;
9 de julho de 2022;extraordinário;limpeza e organização;;10;;;;;;;;;;;;;;;;;;;;;;;
1º de julho de 2022;Gastando pouco mais você consegue uma localização melhor e com maior suporte.;Café da manhã razoável e localização razoável;Quarto sem tomadas suficientes… pra carregar o celular só desligando os abajures. Pequeno… banheiro horroroso, elétrico e com resistência que não suportava 5 minutos de banho quente sem desarmar .;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Hotel sem estacionamento e sem suporte ao viajante de carro.""";5;;;;;;;;;;;;;;;;;;;;;;;;;;
25 de junho de 2022;Satisfatório;Localização;Instalações, limpeza.;6;;;;;;;;;;;;;;;;;;;;;;;
22 de junho de 2022;Aceitável;;O quarto com forte cheiro de esgoto, e o quarto estava cheio de cabelos pelo chão e na cama.;5;;;;;;;;;;;;;;;;;;;;;;;
20 de maio de 2022;estadia incrível! voltarei mais vezes;tudo! cama confortável, funcionários muito atenciosos;gostei de tudo;10;;;;;;;;;;;;;;;;;;;;;;;
20 de maio de 2022;Excepcional;Resumindo, gostei de tudo. Fantástico ! Café da manhã maravilhoso, quarto confortável, atendimento excelente, próximo à praia, limpeza, organização, tudo perfeito. Voltarei sempre que poder. Recomendo com certeza. E olha que fui para uma consulta médica. Mas foi inesquecível essa viagem. Obrigada a todos!;Gostei de tudo!;10;;;;;;;;;;;;;;;;;;;;;;;
18 de maio de 2022;Excepcional;Localidade boa da praia;;10;;;;;;;;;;;;;;;;;;;;;;;
15 de maio de 2022;excelente;o espaço do quarto é excelente, o café da manhã estava delicioso , bem completo . A localização é perfeita, próximo a vários lugares .;;10;;;;;;;;;;;;;;;;;;;;;;;
7 de maio de 2022;Excepcional;Hotel com ótima localização, quarto confortável e bom café da manhã;;10;;;;;;;;;;;;;;;;;;;;;;;
29 de abril de 2022;Excepcional;O café da manhã com muito capricho e saboroso. As meninas também super atenciosas.;Única observação era que no meu quarto não tinha tomada prox a cama para recarregar o cel. As vezes chegava cansada e queria ficar olhando o cel. na cama, porém tinha que deixar carregando na tomada prox a tv;10;;;;;;;;;;;;;;;;;;;;;;;
24 de abril de 2022;Aceitável;funcionários.;Ar condicionado com defeito, muita zoada das caixas de ar dentro do quarto.;5;;;;;;;;;;;;;;;;;;;;;;;
22 de abril de 2022;NÃO VOLTARIA;Localização!;1- Serviço de wi-fi é péssimo! Não carrega um único vídeo.;;;;;;;;;;;;;;;;;;;;;;;;
2- Custo de 1 garrafa de agua caríssimo( R$ 9;00 uma água de 1;5L) valor bem desarrazoado; bem acima do praticado em outros hotéis da região. A mesma agua na padaria de boa vigem próximo custa R$5;00. Fora que não abastecem o frigobar o hóspede tem q descer para pegar na recepção.;;;;;;;;;;;;;;;;;;;;;;;
3- Entrada piso é de material liso e por ser na parte exterior deveria ser de material anti derrapante para não prejudicar os hospedes.;;;;;;;;;;;;;;;;;;;;;;;;;;;
4- Hotel não possui interfone para falar com a recepção; é necessário descer; outro inconveniente.;;;;;;;;;;;;;;;;;;;;;;;;;
5- Por último; solicitei ao hotel check out até as 13horas; tolerância de 1 (uma hora). Fui informado que não podia; contudo; pasmem se eu pagasse uma taxa de R$ 90;00 (noventa reais ) ai; sim; poderia! Ou seja; diária que não é 24horas pois ao entrar as 14h dever-se-ia sair até as 14horas. Fora que o hotel não tem política de conquistar o cliente;" pois não custa nada conceder uma pequena tolerância de horário.""";2;;;;;;;;;;;;;;;;;
22 de abril de 2022;Péssimo;a localização e do atendimento.;a estrutura do hotel não está boa;1;;;;;;;;;;;;;;;;;;;;;;;
21 de abril de 2022;Deu ruim;Localização.;Em primeiro lugar, o hotel estava em reforma e não fomos avisados disso, o que foi especialmente ruim porque estávamos de carro alugado e a garagem não estava disponível para estacionar. Além disso, No dia que chegamos, conversamos com a recepcionista sobre a possibilidade de adiantarmos o café da manhã porque nosso vôo de volta era muito cedo e tínhamos que devolver, antes, o carro. Ela foi extremamente solícita e compreendeu nossa situação, afirmando a possibilidade de tal adiantamento. Dessa forma, chegamos no café da manhã às 06:15hrs, sendo que esse era servido, formalmente, às 06:30hrs. Para nossa total surpresa, fomos extremamente mal recebidos pela cozinheira do hotel, que disse que o café ainda não estava totalmente servido e, diante da nossa explicação, fechou a cara e começou a bater gavetas, talheres e louças. Sequer deu um bom dia, acendeu as luzes ou perguntou se precisávamos de algo. Tomamos café no escuro e ouvindo uma agradável sinfonia de talheres sendo batidos e muxoxos. Isso tudo aconteceu sem qualquer manifestação do funcionário que estava, nessa hora, na recepção. E, mesmo depois que apontamos o ocorrido, o mesmo se manteve inerte. A situação foi extremamente desproporcional considerando não só a exígua diferença de horários (de 6:15hrs para 6:30hrs) como também pelo fato de que adiantamentos de café são coisas rotineiras da atividade hoteleira. Ficamos decepcionados com a nossa estadia.;3;;;;;;;;;;;;;;;;;;;;;;;
18 de abril de 2022;Excepcional;Muito bom;;10;;;;;;;;;;;;;;;;;;;;;;;
16 de abril de 2022;Satisfatório;;não tem microondas no quarto e a tv não conectava no wifi;6;;;;;;;;;;;;;;;;;;;;;;;
14 de abril de 2022;uma porcaria o Hotel;o ar condicionado não funciona e ninguém soluciona;de tudo;1;;;;;;;;;;;;;;;;;;;;;;;
13 de abril de 2022;Muito Bom!;o hotel está passando por uma reforma e está de parabéns! tanto na acomodação como no café da manhã.;Não tenho nada de negativo;10;;;;;;;;;;;;;;;;;;;;;;;
12 de abril de 2022;Estadia perfeita;A localização é perfeita, perto de tudo. A simpatia e cordialidade dos funcionários e as acomodações. Café da manhã muito gostoso.;O quarto poderia ter um espelho maior, pois só tem no banheiro e é pequeno.;10;;;;;;;;;;;;;;;;;;;;;;;
12 de abril de 2022;Gostei demais “visse” !;localização, conforto, limpeza e simpatia dos funcionários;;10;;;;;;;;;;;;;;;;;;;;;;;
12 de abril de 2022;em geral foi bom, só precisa cuidar um pouco;;os travesseiros tinham cheirinho forte, não informaram se o quarto teria janela pra rua. me senti sufocada;5;;;;;;;;;;;;;;;;;;;;;;;
6 de abril de 2022;Ruim;localização;tinha uma barata mortadentro do box e o banheiro estava bem sujo;3;;;;;;;;;;;;;;;;;;;;;;;
2 de abril de 2022;Aceitável;sinceramente, o que gostei do hotel foi a localização. Café da manhã era bem servido. a maioria dos funcionários eram receptivos.;Os quartos estavam com mofo, não havia interfone para nos comunicarmos com a Recepcao, o ar condicionado não estava funcionando bem.;5;;;;;;;;;;;;;;;;;;;;;;;
2 de abril de 2022;Excepcional;Localização, atendimento, limpeza e conforto.;Nada a reclamar;10;;;;;;;;;;;;;;;;;;;;;;;
12 de março de 2023;Muito bom pelo custo benefício e serviço oferecidos.;Receptividade dos funcionários, café da manhã, localização.;Acredito que poderia melhorar a limpeza dos quartos. Também, banheiros com box são mais seguros pois não espalham água, diminuindo o risco de acidentes.;9;;;;;;;;;;;;;;;;;;;;;;;
3 de janeiro de 2023;foi bom;o hotel , piscina.;poucas toalhas e lençol para dormir;7;;;;;;;;;;;;;;;;;;;;;;;
3 de outubro de 2023;Média;Localização muito boa.;Cheiro forte no quarto,sufocante de quarto q fica muito tempo fechado,tive uma alergia por conta do cheiro insuportável.;5;;;;;;;;;;;;;;;;;;;;;;;
16 de agosto de 2023;Excepcional;A localização é ótima, pertinho do calçadão, restaurante, farmácia , etc,;;10;;;;;;;;;;;;;;;;;;;;;;;
11 de abril de 2023;;;;10;;;;;;;;;;;;;;;;;;;;;;;
21 de março de 2023;foi ótimo;o ambiente tranquilo;o conforto do quarto;10;;;;;;;;;;;;;;;;;;;;;;;
3 de maio de 2022;Excepcional;;só o barulho durante a madrugada;10;;;;;;;;;;;;;;;;;;;;;;;
23 de abril de 2022;Acho q o hotel tem obrigação de avisar p o hóspede do barulho da reforma, assim o hóspede fica se quiser… eu não me hosp;nao tenho muito a falar;Entrei as 14:30 e até as 18:00hs fazia barulho de máquina derrubando parede , nem podia dormir, nem assistir TV pois o barulho era muito grande fiquei com uma baita dor de cabeça e a moça da recepção não me avisou q estava reformando qdo fiz o check in.;2;;;;;;;;;;;;;;;;;;;;;;;
5 de setembro de 2024;Good stay in Recife;It was close to the supermarkets, beach and restaurants. Breakfast was teally good.;;9;;;;;;;;;;;;;;;;;;;;;;;
11 de julho de 2024;Good enough.;The location was close to my destination.;In raining days the room become a little moldy.;8;;;;;;;;;;;;;;;;;;;;;;;
27 de dezembro de 2023;For the price it's worth it;Location;;;;;;;;;;;;;;;;;;;;;;;;;
Price;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Breakfast included""";Noisy;7;;;;;;;;;;;;;;;;;;;;;;;;;
19 de outubro de 2022;Nice one-night stay;Early check-in, friendliness of staff, location, price;Construction noises, Cleanliness and equipment of bathroom, small hotel (did not expect this from the booking offer);7;;;;;;;;;;;;;;;;;;;;;;;
3 de outubro de 2022;very good value/ benefits;location, cleanliness, staff , good value , good breakfast, good shower;ther is no hot water on thw bathroom sink, although there was no problem for me ;;;;;;;;;;;;;;;;;;;;;;;;
Few options for channels tv ( only openned ) . ;;;;;;;;;;;;;;;;;;;;;;;;;;;
"only one elevator ( but I could take it without long time whenever I needed)""";8;;;;;;;;;;;;;;;;;;;;;;;;;;
7 de janeiro de 2025;Small hotel near the beach;Breakfast was very good. Orange cake is great and staff is very helpful.;Size and darkness of the room.;3;;;;;;;;;;;;;;;;;;;;;;;
31 de agosto de 2024;Excepcional;Amazing breakfast as well as hotel staff!;;10;;;;;;;;;;;;;;;;;;;;;;;
7 de abril de 2024;Satisfatório;;O Wi-Fi é péssimo;6;;;;;;;;;;;;;;;;;;;;;;;
11 de novembro de 2023;Would not come back.;Location;Mattress was VERY uncomfortable. Hotel only provided a VERY thin blanket that was very poor quality and was scratchy. I stayed 2 nights in a week, one night I was in a bedroom which the window was broken. The second stay they out me in a bedroom which the shower handle would fall. The bed had springs and was so used that I almost fell from the bed as the springs wouldn’t hold you.;3;;;;;;;;;;;;;;;;;;;;;;;
5 de novembro de 2023;Very poor hospitality;Location;Making noise due to the construction from the morning. So I could not keep in the room. Noise level is too high to stay in the room;1;;;;;;;;;;;;;;;;;;;;;;;
24 de outubro de 2023;Stay here!;Great one to stay in REcife!;;10;;;;;;;;;;;;;;;;;;;;;;;
29 de setembro de 2023;Will not stay there again.;Breakfast was great.;No hot water in bathroom sink. They do not have parking.;3;;;;;;;;;;;;;;;;;;;;;;;
19 de setembro de 2022;Nice location and breakfast.;The breakfast is delicious!!! The bed is super comfortable. Location was close to the beach and some restaurants.;The hotel practically don’t have common areas. So if you stay here, consider that you’ll have access only to your bedroom, which is nice. The staff wasn’t able to provide me basic travel information (such as where to buy a SIM card, or what to do in the city).;6;;;;;;;;;;;;;;;;;;;;;;;
22 de junho de 2022;Excepcional;It was wonderful and makes us satisfied;;10;;;;;;;;;;;;;;;;;;;;;;;
1º de abril de 2025;Muito bom;Das Frühstück war hervorragend mit viel frischem Obst und auch traditionellen Dingen wie Tapiocabrot, das man sonst in keinem Hotel bekommt. Das Personal war sehr freundlich und hilfsbereit, so dass ich mich wie „zu Hause“gefühlt habe.;;8;;;;;;;;;;;;;;;;;;;;;;;
17 de janeiro de 2025;Fue tranquila y buena, pasé solo una noche.;La ubicacion, el personal y la tranquilidad;La cortina, no tenía opción de entrada de sol sin que los de afuera mirase adentro. Había pelo en el baño.;8;;;;;;;;;;;;;;;;;;;;;;;
25 de setembro de 2024;vacaciones;Muy linda habitación. ;;;;;;;;;;;;;;;;;;;;;;;;;
Muy buena ubicación. ;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Buen internet.""";espacio de ducha tapada. se llenaba de agua...;;;;;;;;;;;;;;;;;;;;;;;;;;
"terrible ruido de aire acondicionado que no me permitía dormir...""";8;;;;;;;;;;;;;;;;;;;;;;;;;;
22 de agosto de 2024;Fantástico;Um café da manhã gostoso, boa localização e os funcionarios atenciosos.;;9;;;;;;;;;;;;;;;;;;;;;;;
11 de julho de 2024;Buena ubicación.;La ubicación es óptima. Lugar muy tranquilo y cerca de la orla de la playa. El personal es muy amable.;Estaban en reformas. Solo un elevador disponible.;7;;;;;;;;;;;;;;;;;;;;;;;
23 de junho de 2024;Bem localizado e organizado;Boa localização e ótimo café da manhã.;Podia ser um pouco mais arejado;9;;;;;;;;;;;;;;;;;;;;;;;
6 de abril de 2024;Bon rapport qualité-prix pour un court séjour;Nous avons fait un court séjour de passage (une nuit). Les chambres sont petites et exemptes de toute décoration mais propres. Bonne localisation (Boa Viagem), tout près de la plage et pas très loin de l’aéroport (8 km). Bon petit-déjeuner. Bon rapport qualité-prix.;La décoration des chambres peut être plus chaleureuse.;8;;;;;;;;;;;;;;;;;;;;;;;
12 de março de 2024;Bien;Petit déjeuner très copieux et varié. Personnel très attentif.;Accès Internet déplorable. J'ai dû utiliser mon forfait téléphonique.;8;;;;;;;;;;;;;;;;;;;;;;;
9 de setembro de 2023;Buon compromesso;Ottoma disponibilità;;;;;;;;;;;;;;;;;;;;;;;;;
Ottima posizione ;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Camera pulita""";Lavori in corso;8;;;;;;;;;;;;;;;;;;;;;;;;;
4 de setembro de 2023;Muito bom;Personale molto disponibile e accogliente ;;;;;;;;;;;;;;;;;;;;;;;;;
Stanze pulite ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zona sicura ;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Colazione discreta""";Tutto nella norma;8;;;;;;;;;;;;;;;;;;;;;;;;;
17 de agosto de 2023;Si può fare meglio;Ottima posizione, buona la colazione;Camere non proprio pulitissime e bagno vecchio;7;;;;;;;;;;;;;;;;;;;;;;;
18 de julho de 2023;Fantástico;Desayuno y atencion, y ubicacion;La vista habitacion;9;;;;;;;;;;;;;;;;;;;;;;;
15 de março de 2025;Excelente estadía, recomendado vayan a conocer;El aseo todo impecable, la cordialidad, preocupacion, la excelente disposición de los trabajadores al no hablar el idioma se preocupan de que uno entienda, de ayudar, de apoyo en dudas y el desayuno espectacular fue una grata experiencia que si volvemos lo repetíamos. Gracias;En general todo bien, excelentes;10;;;;;;;;;;;;;;;;;;;;;;;
22 de dezembro de 2024;La prossima volta, vedrò di cambiare struttura, sicuro;La colazione era abbondante e variata;;;;;;;;;;;;;;;;;;;;;;;;;
"La posizione centrale è sicura con tanti localini vicini e la spiaggia a due passi""";Le camere assolutamente microscopiche e sull’orlo dell’abitabilità;;;;;;;;;;;;;;;;;;;;;;;;;;
La vista inesistente; in quanto si guardava sul cortile;" si vedevano altri palazzi molto vicini""";6;;;;;;;;;;;;;;;;;;;;;;;;
27 de novembro de 2024;no califica como 3 estrellas;El desayuno y la ubicación;muy chica la habitación, mínimo equipamiento, solo frigobar, tv cable no smart, y A/C.;3;;;;;;;;;;;;;;;;;;;;;;;
21 de outubro de 2024;☺️;Alles war gut 👍;;10;;;;;;;;;;;;;;;;;;;;;;;
3 de agosto de 2024;Satisfatório;El desayuno;Había un ruido increíblemente fuerte fuera de la habitación producto de los aires acondicionados. Me parece que el personal que trabaja allí nunca ha dormido en la habitación 402 ya que si supieran lo que se vive de noche no la ofrecerían. Solo por eso, nunca recomendaría este hotel.;6;;;;;;;;;;;;;;;;;;;;;;;
4 de março de 2024;Satisfatório;;Duschvorhang zu kurz;6;;;;;;;;;;;;;;;;;;;;;;;
24 de setembro de 2023;Satisfatório;Ubicacion;Nada;6;;;;;;;;;;;;;;;;;;;;;;;
31 de maio de 2023;Decepción por el l hurto, yo necesito una disculpa;La atención. De bufete y administración,difícil evaluar todo, porque está situación nos dimos cuenta al retornar a nuestro pais;Que nos faltó dinero y regalo que compramos, eso nos decepciono mucho!!!;6;;;;;;;;;;;;;;;;;;;;;;;
13 de fevereiro de 2023;Bien para hotel de paso;Los empleados del hotel son súper súper amables! ;;;;;;;;;;;;;;;;;;;;;;;;;
La ubicación es buena si estás buscando un hotel de paso. Está a 15 min del aeropuerto (25 reales de Uber);" a 3 cuadras de la Playa y a pasos de varios restaurantes.""";Las habitaciones son muy chicas. Hay que saltar por encima de la cama para poder circular dos personas.;;;;;;;;;;;;;;;;;;;;;;;;;
"La habitación que nos tocó a nosotros muy ruidosa. Las ventanas son muy finas y da a un patio interno que estuvieron de fiesta desde las 15hs hasta las 2am. Nos fue imposible descansar bien.""";6;;;;;;;;;;;;;;;;;;;;;;;;;;
10 de dezembro de 2022;Excepcional;Atendimento ótimo ;;;;;;;;;;;;;;;;;;;;;;;;;
"Tudo limpinho""";;10;;;;;;;;;;;;;;;;;;;;;;;;;
15 de outubro de 2022;Excepcional;La ubicación es muy buena.;Todo ok;10;;;;;;;;;;;;;;;;;;;;;;;
19 de setembro de 2022;Satisfatório;El personal fue muy amable.;El colchón y las almohadas no eran nada cómodas.;6;;;;;;;;;;;;;;;;;;;;;;;
6 de setembro de 2022;Bem localizado, mas caro para o que oferece;Muito bem localizado.;As instalações são mal cuidadas e muito desgastadas. O café da manhã deixa a desejar.;6;;;;;;;;;;;;;;;;;;;;;;;
6 de junho de 2022;DUBLĒ HOTEL RECIFE;Muy lindo el hotel, es cómodo y está a una cuadra de la playa boa viagem. Excelente atención de todo el personal y el desayuno muy sabroso;;10;;;;;;;;;;;;;;;;;;;;;;;
15 de abril de 2022;Excepcional;Atendimento maravilhoso.;;;;;;;;;;;;;;;;;;;;;;;;;
Preço bastante justo.;;;;;;;;;;;;;;;;;;;;;;;;;;;
O quarto todo ok.;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sentí falta de tomar o cafezinho desses de garrafa que antes de ofereciam gratuito;agora t que pagar 7 reais por um que vc mesmo tem que fazer esses de máquina;sabor horrible.;;;;;;;;;;;;;;;;;;;;;;;;;
A senhorita que me recebeu recepção muito cordial;"simpática e atenta nota 10 para ela""";O café de máquina e por 7 reais;10;;;;;;;;;;;;;;;;;;;;;;;;
31 de março de 2025;Muito bom;;;8;;;;;;;;;;;;;;;;;;;;;;;
27 de março de 2025;Muito bom;;;8;;;;;;;;;;;;;;;;;;;;;;;
24 de março de 2025;Muito bom;;;8;;;;;;;;;;;;;;;;;;;;;;;
24 de março de 2025;Bom;;;7;;;;;;;;;;;;;;;;;;;;;;;
24 de março de 2025;Muito bom;;;8;;;;;;;;;;;;;;;;;;;;;;;
18 de março de 2025;Bom;;;7;;;;;;;;;;;;;;;;;;;;;;;
12 de março de 2025;Muito bom;;;8;;;;;;;;;;;;;;;;;;;;;;;
10 de março de 2025;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;
7 de março de 2025;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;
5 de março de 2025;Muito bom;;;8;;;;;;;;;;;;;;;;;;;;;;;
5 de março de 2025;Bom;;;7;;;;;;;;;;;;;;;;;;;;;;;
28 de fevereiro de 2025;Muito bom;;;8;;;;;;;;;;;;;;;;;;;;;;;
25 de fevereiro de 2025;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;
19 de fevereiro de 2025;Muito bom;;;8;;;;;;;;;;;;;;;;;;;;;;;
19 de fevereiro de 2025;Muito bom;;;8;;;;;;;;;;;;;;;;;;;;;;;
18 de fevereiro de 2025;Muito bom;;;8;;;;;;;;;;;;;;;;;;;;;;;
17 de fevereiro de 2025;Muito bom;;;8;;;;;;;;;;;;;;;;;;;;;;;
16 de fevereiro de 2025;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;
3 de fevereiro de 2025;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;
3 de fevereiro de 2025;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;
3 de fevereiro de 2025;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;
3 de fevereiro de 2025;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;
21 de janeiro de 2025;Estadia razoável. Bom café e ótimos colaboradores!;;;7;;;;;;;;;;;;;;;;;;;;;;;
12 de janeiro de 2025;Bom;;;7;;;;;;;;;;;;;;;;;;;;;;;
11 de janeiro de 2025;Muito bom;;;8;;;;;;;;;;;;;;;;;;;;;;;
10 de janeiro de 2025;Muito bom;;;8;;;;;;;;;;;;;;;;;;;;;;;
6 de janeiro de 2025;Muito bom;;;8;;;;;;;;;;;;;;;;;;;;;;;
24 de dezembro de 2024;Muito bom;;;8;;;;;;;;;;;;;;;;;;;;;;;
23 de dezembro de 2024;Muito bom;;;8;;;;;;;;;;;;;;;;;;;;;;;
16 de dezembro de 2024;Bom;;;7;;;;;;;;;;;;;;;;;;;;;;;
15 de dezembro de 2024;Muito bom;;;8;;;;;;;;;;;;;;;;;;;;;;;
15 de dezembro de 2024;Muito bom;;;8;;;;;;;;;;;;;;;;;;;;;;;
11 de dezembro de 2024;Muito bom;;;8;;;;;;;;;;;;;;;;;;;;;;;
5 de dezembro de 2024;Muito bom;;;8;;;;;;;;;;;;;;;;;;;;;;;
29 de novembro de 2024;Muito bom;;;8;;;;;;;;;;;;;;;;;;;;;;;
24 de novembro de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;
16 de novembro de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;
10 de novembro de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;
5 de novembro de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;
3 de novembro de 2024;Muito bom;;;8;;;;;;;;;;;;;;;;;;;;;;;
26 de outubro de 2024;Muito bom;;;8;;;;;;;;;;;;;;;;;;;;;;;
22 de outubro de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;
22 de outubro de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;
21 de outubro de 2024;Muito bom;;;8;;;;;;;;;;;;;;;;;;;;;;;
17 de outubro de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;
17 de outubro de 2024;Muito bom;;;8;;;;;;;;;;;;;;;;;;;;;;;
13 de outubro de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;
9 de outubro de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;
23 de setembro de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;
23 de setembro de 2024;Muito bom;;;8;;;;;;;;;;;;;;;;;;;;;;;
20 de setembro de 2024;Muito bom;;;8;;;;;;;;;;;;;;;;;;;;;;;
9 de setembro de 2024;Muito bom;;;8;;;;;;;;;;;;;;;;;;;;;;;
9 de setembro de 2024;Bom;;;7;;;;;;;;;;;;;;;;;;;;;;;
30 de agosto de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;
28 de agosto de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;
27 de agosto de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;
27 de agosto de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;
26 de agosto de 2024;Muito bom;;;8;;;;;;;;;;;;;;;;;;;;;;;
23 de agosto de 2024;Muito bom;;;8;;;;;;;;;;;;;;;;;;;;;;;
16 de agosto de 2024;Muito bom;;;8;;;;;;;;;;;;;;;;;;;;;;;
6 de agosto de 2024;Muito bom;;;8;;;;;;;;;;;;;;;;;;;;;;;
1º de agosto de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;
31 de julho de 2024;Bom;;;7;;;;;;;;;;;;;;;;;;;;;;;
30 de julho de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;
29 de julho de 2024;Muito bom;;;8;;;;;;;;;;;;;;;;;;;;;;;
29 de julho de 2024;Muito bom;;;8;;;;;;;;;;;;;;;;;;;;;;;
28 de julho de 2024;Bom;;;7;;;;;;;;;;;;;;;;;;;;;;;
26 de julho de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;
22 de julho de 2024;Bom;;;7;;;;;;;;;;;;;;;;;;;;;;;
22 de julho de 2024;Muito bom;;;8;;;;;;;;;;;;;;;;;;;;;;;
18 de julho de 2024;Muito bom;;;8;;;;;;;;;;;;;;;;;;;;;;;
18 de julho de 2024;Muito bom;;;8;;;;;;;;;;;;;;;;;;;;;;;
16 de julho de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;
15 de julho de 2024;Muito bom;;;8;;;;;;;;;;;;;;;;;;;;;;;
7 de julho de 2024;Bom;;;7;;;;;;;;;;;;;;;;;;;;;;;
5 de julho de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;
2 de julho de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;
2 de julho de 2024;Muito bom;;;8;;;;;;;;;;;;;;;;;;;;;;;
30 de junho de 2024;Bom;;;7;;;;;;;;;;;;;;;;;;;;;;;
22 de junho de 2024;Bom;;;7;;;;;;;;;;;;;;;;;;;;;;;
22 de junho de 2024;Bom;;;7;;;;;;;;;;;;;;;;;;;;;;;
30 de maio de 2024;Bom;;;7;;;;;;;;;;;;;;;;;;;;;;;
30 de maio de 2024;Bom;;;7;;;;;;;;;;;;;;;;;;;;;;;
28 de maio de 2024;Muito bom;;;8;;;;;;;;;;;;;;;;;;;;;;;
17 de maio de 2024;Bom;;;7;;;;;;;;;;;;;;;;;;;;;;;
16 de maio de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;
13 de maio de 2024;Muito bom;;;8;;;;;;;;;;;;;;;;;;;;;;;
13 de maio de 2024;Muito bom;;;8;;;;;;;;;;;;;;;;;;;;;;;
11 de maio de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;
11 de maio de 2024;Muito bom;;;8;;;;;;;;;;;;;;;;;;;;;;;
28 de abril de 2024;Bom;;;7;;;;;;;;;;;;;;;;;;;;;;;
25 de abril de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;
23 de abril de 2024;Muito bom;;;8;;;;;;;;;;;;;;;;;;;;;;;
16 de abril de 2024;Muito bom;;;8;;;;;;;;;;;;;;;;;;;;;;;
