data_avaliacao,titulo,comentario_positivo,comentario_negativo
9 de fevereiro de 2025,Excelente estadía.,"Personal atento y buenas instalaciones. Desayuno excelente, el mejor de los 4 hoteles en que estuve (recorriendo entre Maceió y Recife). Restaurantes buenos. Habitación amplia, todo limpio.
Volvería y me gustaría haber estado más días.","La ubicación le da una playa muy pequeña y por otra parte, no se aprovecha la vista que tiene en la azotea… es una lástima. No es crítica, pero sin duda, poder mirar al mar desde la azotea le daría un plus."
8 de fevereiro de 2025,Fantástico,"El desayuno rico y variado, el personal amable, la habitación cómoda.","La piscina pequeña, no se ofrece otras instalaciones y/o actividades de ocio."
8 de fevereiro de 2025,Excepcional,El personal y las instalaciones,Me gustó todo
5 de fevereiro de 2025,Excelente hotel en Recife,"Habitación sumamente comoda y moderna,",
5 de fevereiro de 2025,Estadía Adecuada,La atención del personal / desayuno / música cálida en vivo,No es ágil el uso del sauna / demoran unos minutos en traer el auto cuando contratas el servicio de parking porque no es en el propio hotel
4 de fevereiro de 2025,Muito bom,,C’est dommage qu’en raison de la présence d’une équipe de football que le salon du petit déjeuner ait été fermé. Et nous n’avons pas pu bénéficier de la même prestation.
4 de fevereiro de 2025,Das Hotel ist hervorragend,"Dieses Hotel gefällt uns sehr, weil es in der Nähe von allem liegt und wir fühlen uns sicher.
 Sie haben auch einen hervorragenden Concierge-Service und Personal. Die Mitarbeiter sind immer freundlich, aufmerksam und hilfsbereit Wir haben uns wie Zuhause gefühlt. Wir sind seit über 25 Jahren Kunde und kommen sehr gerne wieder zurück. Das Essen ist köstlich und es gibt viele Optionen zum Frühstück. Es lohnt sich hier zu übernachten. Liebe Grüsse an das Personal 😀",
3 de fevereiro de 2025,"Mycket bra o trevligt boende, serviceminded personal, bra faciliteter som takpool och spa/massage.",Mycket bra och varierad frukost. Mycket trevlig frukost- och servicepersonal.,
3 de fevereiro de 2025,Il vento di Recife,"La struttura è bella e le camere sono ampie e pulite. La colazione è davvero buona e con varietà di scelte. La seconda notte di soggiorno non siamo riusciti a chiudere occhio, perché c’era molto vento e si infiltrava dalla finestra e sotto la
Porta (probabilmente per delle finestre aperte sul piano vicino all’ascensore) tutta la notte il vento “ululava” attraverso gli infissi!",Gli infissi!
1º de fevereiro de 2025,El mejor hotel de Recife,"Hermoso Hotel. Ubicado frente al mar. Excelente atención y servicio. La habitación era divina, muy moderna y de diseño muy bonito. Moderno y con buen gusto. Todo el personal muy amable. La comida del restaurante muy rica y con precios adecuados. Volvería sin dudas!!",Nada
1º de fevereiro de 2025,Excepcional,"Ottimo hotel a Recife, con posizione perfetta.
Molto pulite le camere e colazione straordinaria!",
31 de janeiro de 2025,Excepcional,Piscina y desayuno,
23 de janeiro de 2025,Muito bom,"Colazione, letto comodo, gentilezza del personale.",Dimensione della camera nella media. Camere un po’ vecchiette però niente che disturbi il soggiorno.
22 de janeiro de 2025,Fantástico,"El personal, el desayuno, la ubicacion",
20 de janeiro de 2025,Wir waren sehr zufrieden,Unser Zimmer war einfach wunderbar,Das Restaurant könnte eine bessere Speisekarte haben
17 de janeiro de 2025,Fantástico,Instalaciones y personal,"Una de las dos piezas estaba sucio el piso, con restos de comida y el baño no tenia shampoo"
15 de janeiro de 2025,Soggiorno perfetto,Siamo stati due notti. Ci siamo trovati molto bene. Buona la colazione.,
6 de janeiro de 2025,Super confortevole,Tutto,Della colazione la tapioca e la Omelett ho dovuto fare la fila a differenza di altri hotel brasiliani che la servono al tavolo.
3 de janeiro de 2025,"En härlig vecka mitt på Avenida Boa Viagem, ett stenkast från flygplatsen.",Frukosten var generös och varierad från dag till dag. En underbar kvinna lagade omeletter etc efter ens önskemål. Personalen vänlig och tillmötesgående. Inga problem överhuvudtaget. Eftersom vi bodde där en vecka så blev vi snabbt igenkända och bemötta som om vi vore celebriteter.,"Det vi saknade på rummen var dock att det varken fanns garderob eller strykjärn, det är något man förväntar sig av ett femstjärnigt hotell. Fick sedan höra att redan i år skall hotellet renoveras, hoppas att de har en sådan elementär sak i åtanke då. Det var väl det enda minus jag kunde komma på."
26 de dezembro de 2024,Ideale per un breve soggiorno.,"La
Posizione e la prima colazione .",Camera troppo buia.
23 de dezembro de 2024,Muito bom,Sehr gutes Frühstück,
23 de dezembro de 2024,Excelente precio calidad,"Habitaciones limpias , excelente atención por parte del personal",La playa que tiene en frente es muy estrecha
10 de dezembro de 2024,Komme nächstes Jahr wieder,"Das Frühstück hat eine zehn verdient 
Lage sehr gut",
1º de dezembro de 2024,Excelente estadía,La atención del personal increíble en especial Dayanne en recepción. La habitación con vista al mar muy amplia y cómoda. Hotel bien ubicado a menos de 10 minutos del aeropuerto. Desayuno en el restaurant Mirage a otro nivel. Recomendado al 100%. Para volver a Recife.,Nada.
28 de novembro de 2024,muy adecuado,"Destaca la atención de Luana en el mostrador de entrada , sonríe , se toma el tiempo necesario para atender , entrega la informacion en forma clara y detallada , recuerda a los clientes con se nota preocupación . 
 desayuno muy abundante y variado 
buena atención en general",la playa al frente del hotel estaba sucia
12 de novembro de 2024,"Fantastisk vistelse på ett drömhotell med personal, faciliteter och rum av absolut hösta klass.","Extremt exklusivt och välorganiserat hotell utöver det vanliga. Härlig frukost med allt man kan önska sig, två fantastiska restauranger med professionella servitörer som vet vad service är. Vi bodde i ett familjerum med våra barn i äldre tonåren men det fungerade utmärkt. Takpoolen med bekväma solstolar, bar och fin utsikt uppskattades särskilt. Vi var ett tjugotal släkt och vänner från Sverige, USA och Brasilien som i samband med ett bröllop tillbringade många fantastiska dagar på detta ”lyxhotell” hurra.",Även om det finns billigare hotell i omgivningen så är Atlante Plaza ett prisvärt hotell och det finns absolut inget att inte gilla.
11 de novembro de 2024,Gerne wieder Alls Top,War ein guter Aufenthalt wie immer im diesem Hotel,Im meinem Zimmer hörte man den ganzen Tag ein pumpen Geräusch …. Ich denke das geht auf die Kosten vom Pool der auf dem 16. Stockwerk war ich hatte das Zimmer direkt unten
9 de novembro de 2024,"Gutes Hotel, Preis/Leistung passt","Sehr gute Lage, direkt am Strand (in dem man allerdings nicht baden kann/soll) Wirklich sehr gutes, in unsere Brasilien Reise das beste Frühstück.",Die Aussicht aus dem Zimmer direkt auf ein anderes Hochhaus war erdrückend. Service am Pool und in der Bar sehr langsam.
2 de novembro de 2024,Fantástico,"J’ai l’habitude depuis de nombreuses années de descendre à l’Atlante Plaza au moins une fois par an 
Toujours aussi satisfait 
La dame responsable du petit déjeuner est très attentionnée et très agréable et serviable",Tout aimé
1º de novembro de 2024,El hotel perfecto para quedarse en Recife!,"Hotel maravilloso en frente de la playa, atención espectacular por parte de todos los empleados del hotel facilitando el desayuno anticipado el día del check-out. Desayuno increíble y habitaciones de diseño con muy buen gusto y carta de 6 almohadas, cama comodisima…en resumen un 10!",Me gustó todo!
30 de outubro de 2024,Excepcional,Tout et particulièrement la nourriture 😋 Excellent rapport qualité/prix,
27 de outubro de 2024,Excepcional,"El hotel es realmente espectacular, la atención, las instalaciones, el desayuno, la comida del chef para los almuerzos, la pileta, la ubicación frente al mar! Nos encantó!","Nada, todo espectacular!"
24 de outubro de 2024,Perfektes Hotel,"Haben ein Upgrade erhalten. 
Sehr freundliches Personal. Perfektes Frühstück. 
Saubere Zimmer.",
23 de outubro de 2024,Excepcional,"Excelente restaurante e instalaciones.
Habitación muy amplia con cama muy cómoda",Nada
19 de outubro de 2024,Lyxigt hotell med trevlig personal,Lyxigt hotell med bra service. Personal i receptionen var mycket hjälpsamma och kunde engelska. Dayanne i receptionen var extra trevlig och hjälpsam mot oss.,"Inget speciellt, vi var nöjd med det mesta"
19 de outubro de 2024,Perfekt!,"Uppfyllde alla våra behov och förväntningar för uppehället. Vi var där en stor grupp tillsammans med familj och vänner inför vår sons bröllop i Recife. Bra rum med fin utsikt, bra restauranger och poolområde!",Inget jag ogillade.
14 de outubro de 2024,Fantastiskt läge vid besök i Recife.,Perfekt läge på strandpromenaden. Fin takpool med område.,Badförbud pga bl a hajar på stranden utanför.
10 de outubro de 2024,Hervorragend,"Das Frühstück übertraf meinen Erwartungen im Mirage
Das Personal an der Recepção Diago und Natalie haben einen außergewöhnlichen Job gemacht.",Alles Super
3 de outubro de 2024,Excepcional,"Super Lage
Sehr gutes Frühstück 
Freundliches Personal 
Toller Fitnesstrainer",
2 de outubro de 2024,"Excelente, buen desayuno y ubicación","ubicación, costo benefício, desayuno, limpeza, piscina, gimnasio, comodidad, baño","Poco aislamiento acústico, se puede escuchar otros cuartos fácilmente."
28 de setembro de 2024,Fantástico,Het ontbijt is echt fantastisch. Vriendelijk personeel en de ligging is dichtbij het vliegveld.,Werkzaamheden in een kamer onder of boven ons. Soms sprak het personeel geen Engels.
22 de setembro de 2024,"Excelente hotel e instalaciones, volveremos.","Excelente hotel e instalaciones, además de la amabilidad de todo el personal. Cuenta con restaurantes de buena calidad, comidas exquisitas, donde también existe la impregnación de la cultura pernambucana. 

El hotel se encuentra al frente de la playa, el lugar es tranquilo, no existen tantos restaurantes a su alrededor, no obstante, siempre comimos en los restaurantes del hotel ya que existe variedad de opciones y precios (no son caros). 

Cuando tuve un accidente en los arrecifes en un tour, llegué y me auxiliaron (complementando las curaciones que ya había tenido en el lugar del accidente), se preocuparon constantemente de cómo me sentía y de mi evolución.","Lo único malo que nos pasó fue que nos quedamos atrapados en el ascensor panorámico unos segundos (yo tengo claustrofobia), pero la preocupación del hotel fue constante en el momento y luego realizando el seguimiento. El servicio al cliente del hotel cumple a cabalidad con su función."
21 de setembro de 2024,Excepcional,Aussicht vom Zimmer. Frühstück Buffet. Personal sehr gut,Nur mit Auto beweglich.
19 de setembro de 2024,Muito bom,"El desayuno excelente, el personal muy atento, las instalaciones muy limpias y modernas.",La playa frente al hotel no es la más linda.
10 de setembro de 2024,Ik ben heel tevreden met mijn verblijf en we komen zeker terug heel vriendelijk personeel,"Hygiëne, ruimte,lekker ontbijt,",
9 de setembro de 2024,Excepcional,"L'établissement est super beau, la chambre est très propre, le lit est geant, le service est exceptionnel, le dejeuneur est delicieux et frais! J'ai bcp apprecié leur efficacité pour repondre à mes petites demandes! Je suis extrêmement contente et satisfaite de mon experience.",Rien à signaler.
1º de setembro de 2024,Muito bom,"Sehr angenehme Atmosphäre im Hotel. Gepflegt und ruhig. Zum Frühstück gab's Live-Musik, Klavier oder Saxophon.",
30 de agosto de 2024,HOTEL CON FINITURE DI LUSSO,"Hotel fronte mare di altissimo livello, le camere confortevoli ed eleganti, ricche di tutto. Macchina del caffe in camera con 4 cialde al giorno, acqua di benvenuto, ciabatte infradito, accappatoi, alexa. La colazione stile brasiliano molto ricca e variegata. I letti comodissimi!
Abbiamo potuto lasciare le valige dopo check out per tutta la giornata.",Nulla
29 de agosto de 2024,Fantástico,"desayuno excelente muy variado e incluia productos light y tambien sin azucar 
ubicacion muy buena y locomocion disponible en la puerta
suite espaciosa y confortable",
19 de agosto de 2024,Excelente,Comodidad,Fiquei pouco tempo
18 de agosto de 2024,Perfekt,"Super leckeres Frühstück, freundliches Personal, alles sauber",
15 de agosto de 2024,"Hotel perfetto, comodo e accogliente",Hotel completo e ricco di tutto quello che ti serve. Colazione abbondante e molto variegata.,Nulla
11 de agosto de 2024,"Top lokatie, personeel super vriendelijk, lekker ontbijt!",Bed. Super comfortabel!,Uitzicht niet op strand :-(
30 de julho de 2024,Fantástico,El restaurante,
25 de julho de 2024,Muito bom,"Belle hôtel de manière calme, ayant le soir petit concert de piano ou de trompette de style calme. Bon petit déjeuné, manquant de diversification niveau sucrée à mon goût. 
Bonne piscine et belle vue en hauteur. Bien placé au bord de la plage qui s ouvre que quand la marrée est basse, (car impossible de se baigner autrement à cause des pierres sur le bord et de requins-citrons qui sont dangereux pour les baigneurs). 
Bon service du personnel et aimable. 
Notre chambre présentait une fuite sous l avabo et aussi tôt que nous l'avons rapporté au personnels, aussi rapide les techniciens sont arrivés. 
Changement de draps presque chaque jour et très bon nettoyage.
De l'eau citronnée en proposition gratuitement dans le hall, durant l'après-midi et le soir.","Vitrage non doublée ce qui fait que le soir même en 8eme étage on entendait les voitures, commeune impression d'avoir laissé les fenêtres ouvertes. 
Une sirenne qui s'enclenche parfois pour rien.
L'endroit est bien placé, mais manquait cruellement de propositions d'activités, (qu'on s'est un peu ennuié pour être honnête). 

Si vous commandez une pizza c'est OK, sinon vous rencontrerez que des repas trop petit le soir, (que vous aurez encore faim si vous avez très faim). 
La bolognaise n'est pas très bonne, ne sachant pas le faire a l'italalienne comme pas de carotte coupée. La tomate était aussi un peu trop acide. 

Pas de shampoing mise à disposition dans les chambres, et vitre de la chambre etaient sales."
19 de julho de 2024,Excelente,"Muy buena ubicación, instalaciones muy linda, desayuno espectacular.",Mucho olor a humedad en la habitación
8 de julho de 2024,Muito bom,Bien placé. Chambre correcte,Rien
30 de junho de 2024,Muito bom,Chambre agreable. Propre en face de la mer.,"Le restaurant Mirage, une glaciere."
28 de junho de 2024,Excepcional,"Ottimo accomodamento. Abbiamo viaggio con bambini. Camera ampia, ottimi letti. Servizio pulizia veramente ottimo. Ricca colazione internazionale. Abbiamo usufruito del servizio in camera. La piscina all'ultimo piano offre la possibilità di fare un bagno senza accedere al mare, visto i divieti di bagno causa squali.",Ka struttura si trovano sul lungo mare boa viagem e nelle vicinanze non ci sono bar o ristoranti.
27 de junho de 2024,Excepcional,tutto colazione fantastica,
26 de junho de 2024,Genial,"Frühstück, Personal, alles super top.",Nichts
24 de junho de 2024,Buen alojamiento para noche de escala en Recife. Cerca de aeropuerto,Es un buen alojamiento con buen desayuno,Estuvo bien
23 de junho de 2024,"Perfekt,besser geht nicht😃","Ich war 3 Monate in Brasilien und habe eine Ausbildungsbäckerei für Jugendliche geleitet.
Zum Anschluss meiner Reise habe ich mir dieses Hotel ausgesucht.
Es war einfach unglaublich,schon bei der Ankunft wurde ich unglaublich nett von den Hotelpagen empfangen.
Diese Freundlichkeit zog sich vom Empfang ( super schneller Check in)während des gesamten Aufenthaltes fort.
Ich habe nich noch nie in einem Hotel so wohlgefühlt.
Alles hat gepaßt,vom Frühstück ( super) und auch dem Abendessen.
Hatte mich dann noch über das Pizzabacken mit dem Chefkoch unterhalten.
Der Poolbereich und auch das Fitnessstudio einfach Klasse.
Ich könnte jetzt noch ewig weiterschreiben.....hatte ein Superior Zimmer gebucht und hatte dann sogar ein Zimmer mit Meerblick.....besser geht einfach nicht.......wer hier irgendwas zu meckern hat ...... unverständlich.....sollte ich wieder nach Brasilien reisen kommt für mich kein anderes Hotel in Frage......",
16 de junho de 2024,Erholsame erste Nach nach einem langen Flug,"Saubere geräumige Zimmer, das Frühstück war super","Die Fahrstühle waren nicht alle einsatzbereit, längere Wartezeiten aber ok"
3 de junho de 2024,Ein super Hotel!,"Tolles Hotel mit Blick auf das Meer. Schöne Zimmer, tolles Frühstück, aufmerksame und professionelle Mitarbeiter.",
17 de maio de 2024,Séjour agréable,Bel hôtel situé en bord de mer avec des prestations de qualité,Rien de particulier
3 de maio de 2024,Fantástico,Le petit dej est top,
28 de abril de 2024,Sehr schön,"Frühstück, Service ist sehr gut unter anderem",Vor den hotel abends ist nicht viel los.
25 de abril de 2024,Excepcional,Tudo ótimo,
13 de abril de 2024,Excepcional,Ótimo,
7 de abril de 2024,Séjour Merveilleux,Super déjeuner personnel adorable merci,Rien tout si passé super bien.
4 de abril de 2024,Muito bom,"Lo utilizamos una noche, a la espera de un vuelo
Muy buena opcion
El Restaurante es muy buena opcion",
1º de abril de 2024,JE LE RECOMMANDE,"L'hôtel est beau, moderne et le personnel est très très sympa.",
27 de março de 2024,Excepcional,"El personal muy amable, el cuarto muy cómodo.",
25 de março de 2024,Excepcional,"Super Service an der recepcao 
Das Restaurant Mirage war hervorragend 
Komme seit einigen Jahren zum Atlanta Plaza Boa Viagem 
Bin begeistert und tolle Atmosphäre",
10 de março de 2024,Fantástico,Fruhstuck,
5 de março de 2024,Buen lugar,Las habitaciones y el personal,Un día había vomito en la piscina y nadie limpio
5 de março de 2024,Tolles Hotel direkt an der Strandpromenade.,Herrlicher Ausblick aufs Meer. Schöner Pool auf dem Dach. Sehr freundliches Personal an der Rezeption. Überaus üppiges Frühstücksbuffet.,
26 de fevereiro de 2024,Excelente Hotel!,"Ubicacion, piscina, habitacion, todo en general",Que no pudimos descontar en Booking el desayuno que por horario no pudimos consumir. Intentamos con el Hotel canjearlo por otro beneficio pero fue en vano.
21 de fevereiro de 2024,Muito bom,Direkt bei der Ankunft Upgrade bekommen,Fenster waren nicht ganz dicht. Beim Sturm in der ersten Nacht kam an verschiedenen Stellen Regen ins Zimmer und machte den Boden nass.
15 de fevereiro de 2024,Fantástico,"Excelente ubicación, a pasos de la playa. Buffet variado y rico. Personal muy amable siempre. Piscina con excelente vista, con bar incluido, rica el agua",Mejorar limpieza de piscina
10 de fevereiro de 2024,Buena desición,"Cómodo, buenas instalaciones y linda vista. La relación precio calidad muy favorable. Lo único a considerar es que estaba algo lejos del centro y pro el tráfico el trayecto se hace largo. En general muy buen ligar",
9 de fevereiro de 2024,Excepcional,Colazione eccellente!!! Personale molto qualificato. Ottima esperienza.,
5 de fevereiro de 2024,Excelente estadía en Recife,Excelentes los desayunos. Muy buena vista desde los ascensores y la terraza. Hermosa pileta. El personal del hotel muy cordiales.,Las tarjetas para el acceso a nuestra habitación se desmagnetizaba frecuentemente.
4 de fevereiro de 2024,Fantástico,Das a la Carte Frühstück war super 😊,
11 de janeiro de 2024,Super,"Die Atmosphäre, der Ausblick im Aufzug, das Morgenbuffet, freundliche Mitarbeiter, Fitnessstudio war immer sauber und aufgeräumt, die Livemusik.",Das die Dusche ohne Duschbrause war. Das Bad wurde nich sauber gereinigt und die Seife wurde nicht aufgefüllt.
6 de janeiro de 2024,Muito bom,Die Lage und das Frühstück,In der Oberen Etage sind die Zimmer vor allem Badezimmer restauriert worden und in bessere Zustand
30 de dezembro de 2023,"Super hotel, luxus classe",Lager und Sauberkeit,
29 de dezembro de 2023,Excepcional,"Todo cumplió mis expectativas, el servicio es excelente",Nada para reclamar
22 de dezembro de 2023,Muito bom,"Nous avons l’habitude d’y séjourner quasiment chaque année entre deux destinations dans le Pernambuco, parfois quelques nuits parfois une seule nuit mais toujours très satisfaits",
20 de dezembro de 2023,Immer noch sehr gepflegt,Das Personal war sehr freundlich und das Frühstück ist super,"DasGebäudeist in die Jahre gekommen.
Betten sind aber sehr bequem, die Ausstatung Möbel ist aber gut und bequem"
18 de dezembro de 2023,Secondo soggiorno in poche settimane,"Colazioni ricche, molto varie ed abbondanti
Personale molto attento alle esigenze
Stanze ai piani intermedi silenziose.
Hotel molto pulito",
18 de dezembro de 2023,Ottimo soggiorno,"Colazione abbondanti e ricche con ampia scelta
Posizione tranquilla fronte mare.
Stanza ampia.
Ottima attenzione da parte dei dipendenti.
Ottima la pulizia","La stanza fronte mare al'ultimo piano ( stanza presidenziale), diventa molto rumorosa in caso di vento forte ( ma questo dipende da quanto uno ha il sonno pesante)."
13 de dezembro de 2023,Muito bom,"Komfortable Betten, sauber gutes und reichhaltiges Frühstück. Im Gegensatz zum früheren Aufenthalt war das Zimmer renoviert und das Personal freundlich und hilfsbereit.",Restsurant und Bar recht teuer. Qualität von Wein und Speisen eher mittelmäßig. Im Zimmet fehlten Ablagemöglichkeiten für Kleider.
11 de dezembro de 2023,Muito bom,Preis ist z,
23 de novembro de 2023,Muito bom,"Die Lage, sehr Zentral, gute Restaurantes in der Nähe. Die Strand Promenade lädt zum spazieren ein. Der Fitnessraum ist gut ausgestattet. Das Personal ist sehr freundlich und hilfsbereit. Die Chefin des Service Ana ist sehr zuvorkommend. Das Frühstückbuffet war reichhaltig und mit vielen Spezialitäten.",
22 de novembro de 2023,"5 estrellas renovado, pero con limitaciones.","El Desayuno muy bien, muchas opciones. La ubicación muy buena para ir a caminar o correr por el paseo marítimo. No se siente tanta inseguridad, aunque si hay muchas personas sin techo y da pena que los gobernantes no cuiden más la imagen de la cuidad. 

El gym está OK, pequeño para el tamaño del hotel, podrías tener más espacio y más opciones. 

La habitación muy bien, muy cómoda.","Quise utilizar el sauna a las 11am. El chico del bar de la piscina me dijo que para ir al sauna hay que entrar por el salón de masajes y tratamientos y que le chica estaba ocupada por lo que la puerta estaba cerrada. Esperé, 1 hora, y cuando finalmente abrió la puerta porque saliá la clienta, me dijo que el Sauna abre la 1pm. Ermm...

Baje a quejarme a recepción y me dijeron, si abre a las 1.30pm. Errm??!! de nuevo! Busqué en la web, en la habitación, en los paneles digitales info al respecto, incluso en el canal de TV del hotel con los servicios y no ponen horario en ningún lugar. Para un 5 estrellas es limitado en servicio, en tamaño de la piscina - aunque con muy buenas vistas - y en atención al cliente. 

El bar / restaurante del hotel es bastante caro - si es 5 estrellas - para el nivel de precios de restaurantes en Recife.

No sé porque en Brasil en todos los hoteles tardan taaaanto para hacer el check-in. son 20 minutos mínimo por persona. Si no estás de primero, vete al bar."
16 de novembro de 2023,Für mich war es perfekt,Die Freundlichkeit durch das ganze Haus Rezeption Restaurants bar einfach alle waren super Freundlich,Alles top
23 de outubro de 2023,Excelente ubicación y espacios comunes amplios,"Excelente ubicación, incluye cochera. Buen desayuno y espacios comunes amplios.",El tamaño de la habitación un poco ajustada.
3 de outubro de 2023,un problème de réception et d'accueil des clients dans un hotel somptueux un peu isolé,"le petit déjeuner est énorme et la chambre magnifique
l'un des plus beaux hôtels que j'ai vus","le service d'accueil est désastreux, une heure pour le check-in et une heure pour quitter l'hôtel
la facture arrive 3 semaines après le séjour, après que l'hotel ait annulé la résa (après mon retour... et que la résa a été entièrement assumée)
la localisation ne me plait pas non plus car pour n'importe quelle activité hors hotel un taxi est nécessaire"
1º de outubro de 2023,Excepcional,Todo,
26 de setembro de 2023,Excelente hotel,Todo. Volvería sin pensarlo,Nada
10 de setembro de 2023,Fantástico,"Gostei muito da vista para o mar. A limpeza, comida, fui muito bem recebido.",O barulho do ar condicionado
20 de agosto de 2023,Muito bom,"Ottima colazione, hotel con numerosi servizi",
19 de agosto de 2023,Desayuno espetacular.,"De forma general, sí, estuvo bien, pero lo mejor de este hotel es el personal.","En mi opinión, las habitaciones necesitan actualizarse, pero he de decir que el colchón y almohada son de muy buena calidad; muy buen sueño."
18 de agosto de 2023,Excepcional,"Muy bueno, cerca del aeropuerto y muy comodo","El desayuno muy bueno pero el lugar es chico, fuimos solo una noche y al otro dia el lugar pra desayunar estaba repleto de gente hasta no tener mesa para sentarnos"
11 de agosto de 2023,Muito bom,,"Bei dem Mittagsbuffet war nicht genug beliebter Nachtisch für alle da. Die Gläser für die extra zu bezahlenden Säfte waren teilweise nicht ganz aufgefüllt. Das Buffet war ansonsten sehr gut, wenn man den brasilianischen Geschmack mag."
9 de agosto de 2023,Excepcional,"Excelente atenção, além das boas condições das instalações do Hotel.",
7 de agosto de 2023,Muy buen hotel! El trato de los funcionarios es muy bueno! Cordial amable y cálido! Wifi otimo para trabalhar comida y c,Si,No había shampoo pedí me dijieron que iban a traer pero nunca pasoo
22 de julho de 2023,Agradable estadía,"Agradable hotel frente al mar, habitación amplia y variado desayuno.
Hermoso lobby, tocan piano.
Barrio seguro y lindo con buenos restaurantes cerca.
A 10 min del aeropuerto","La piscina es un poco chica y no está muy bien decorada esa area respecto al resto del hotel que es muy lindo.
Se estancaba el agua en la ducha."
22 de julho de 2023,Fantástico,"Las instalaciones son muy buenas, el desayuno es estupendo.",Recomendación de haber una excursión a Recife y Olinda con un taxista. Demás excursiones muy bien.
19 de julho de 2023,Excepcional,"Очень хороший отель, первая линия. Дали красивый номер с видом на море. Учли все пожелания. Вообще персонал очень хороший. При этом, если номер без вида, то вид будет в соседнюю стену. Учитывайте это

Очень хороший французский ресторан на этаж S1. Работает со вторника по субботу","Не понравился завтрак, маленький выбор, нет овощей. И в целом в этом ресторане не очень понравилась еда, лучше идти во французский ресторан. При этом персонал очень вежливый и старается в обоих"
17 de julho de 2023,Fantástico,Muy buena higiene en todos los ambientes,
25 de junho de 2023,Großartige Unterkunft,Schöne Unterkunft mit allen Annehmlichkeiten,"Zentrale Lage, kurzer Weg vom Flughafen, in unmittelbarer Strandnähe"
5 de maio de 2023,Muito bom,Vue partielle sur mer. Accueil. Literie . Bon buffet petit-déjeuner.,
22 de abril de 2023,Soggiorno super e personale eccellente,"la pulizia, i servizi (in particolare la piscina) e soprattutto la gentilezza e accoglienza di tutto il personale.
Ringrazio in particolar modo Isabel, Lucio e Danilo che hanno reso le nostre colazioni al Café Mirage un momento davvero piacevole!",L‘acqua della piscina é davvero troppo calda!
22 de abril de 2023,paradiesische Ferien,sehr gastfreundliches Personal. wunderbare Lage direkt am Strand. Frühstück Note 10. sehr viele Ausflugsmöglichkeiten rund um Recife. wie kommen wieder.,nichts.
12 de abril de 2023,bueno y elegante,"el personal muy atencioso, hasta me ofrecieron, un tour para poder conocer recife y olinda, fue bueno haberlo tomado ya que los otros dos dias estuvo lloviendo horriblemente",cobro extra por solo subir una persona a una habitacion un momento 110 reales
11 de abril de 2023,Fantástico,"- staff super gentile
- colazione super
- piscina","- prezzi troppo alti (bar, room service)
- qualità cibo room service non da 5 stelle"
6 de abril de 2023,Muito bom,posizione,camere un po’ datate
5 de abril de 2023,fue buena,el lugar,nada
29 de março de 2023,Hermoso hotel pero ojo que no hay playa enfrente,El hotel es muy agradable y confortable. el desayuno es muy bueno. La habitacion muy moderna y cumple con un hotel de esa categoria,La ubicacion frente al mar uno se imagina que puede bañarse en la playa enfrente pero no hay playa en esa area
25 de março de 2023,Excepcional,"Aussicht, große der Zimmer, Frühstück","Alte Möbel, schmutzige Fenster"
17 de março de 2023,Excelente hotel y servicio impecable,Todo ok. Nada malo,
16 de março de 2023,Angenehme Zeit in Recife,Gute Lage direkt an der Boa Viagem. Sehr gutes und reichhaltiges Frühstück. Geräumiges Zimmer mit Strandblick. Coole Rooftop-Bar mit Pool. Guter SPA. Wahrscheinlich bestes Hotel in Recife.,Ein bisschen in die Jahre gekommen. Die Suite war bei unserem Bezug nicht sauber. War vermutlich wochenlang vorher nicht belegt.
12 de março de 2023,Schönes jedoch Renovierungsbedürftiges Hotel,"Sehr schöner Ausblick , gutes Preis/Leistungs Verhältnis , guter Gym","Das Hotel ist schon in die Jahre gekommen , die Zimmern sind Renovierungsbedürftig , insbesonderes schirches Badezimmer . 
Leider spricht fast niemand English. 
Zum Frühstück konnte man nur fertig Kaffe bekommen, ein Espresso war gegen Aufpreis möglich"
9 de março de 2023,Muito bom,Desayuno y la atencion del personal,Que no tuviera gimnasio disponible...
7 de março de 2023,Excellent séjour !!,"Personnel très accueillant, Chambre très confortable et très bonne literie ce qui est rare au Brésil ! Très jolie décoration des espaces communs. Qualité du petit déjeuner, bref un excellent rapport qualité prix !! Je recommande vivement !!",Il manque juste une bouilloire ou cafetière dans les chambres.
2 de março de 2023,Fantástico,Ubicación,
17 de fevereiro de 2023,Excepcional,Piscina funcionários café da manhã,
15 de fevereiro de 2023,Muy buen Hotel,"el personal, la habitación, el desayuno",tener que irme
7 de fevereiro de 2023,Llegada a recife,Llegamos tarde y la recepción fue agil,
5 de fevereiro de 2023,Excepcional,Lo mejor el desayuno y la atención del personal del restaurante todo excelente .,Un pequeño detalle q no había pantuflas en la habitación.
31 de janeiro de 2023,"Fin de semana familiar, muy grato y confortable","El desayuno excelente y el personal muy atento, en especial Lucio y Ellen quienes siempre fueron muy amables, atendieron con una sonrisa cada una de nuestras peticiones y nos hicieron sentir en casa. 
El hotel está muy bien ubicado, es confortable y limpio. Sin duda volveríamos a alojarnos en este hotel.",
28 de janeiro de 2023,Das Beste am Hotel ist die Lage und das Frühstück.,Lage ist super,"Das Zimmer war nicht sauber, hat den Anschein gemacht, dass schon längers niemand dieses Zimmer belegt hat und daher hat sich Staub angesammelt."
24 de janeiro de 2023,Excepcional,alles,
